,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.965331752609021e-07,4.520191988565108e-05,1.5709433929183795e-06
1,0.00011,4.758306051739297e-07,4.633444597285329e-05,2.0072874922830324e-06
2,0.00012,5.569142038708494e-07,4.696559975729802e-05,2.13485099721127e-06
3,0.00014,5.448654369809834e-07,4.734546660070243e-05,2.145097690239167e-06
4,0.00016,7.719924692270936e-07,4.755732925884405e-05,2.174396400603696e-06
5,0.00017,6.265831799705128e-07,4.750986456077974e-05,2.2259783200311163e-06
6,0.00019,7.54455144448648e-07,4.85162664608153e-05,2.1449749471682937e-06
7,0.00022,1.0444455457927056e-06,4.788043032081845e-05,2.3712022523028896e-06
8,0.00024,1.4897581852884418e-06,4.876057128574254e-05,2.261334915351874e-06
9,0.00027,1.92162774277975e-06,4.911843313037534e-05,2.6954087702248816e-06
10,0.0003,2.2944810262910268e-06,4.955858933544695e-05,2.912615804525085e-06
11,0.00034,2.4559707390496282e-06,5.0377668590231656e-05,3.2849544965755686e-06
12,0.00037,2.8474752566612637e-06,5.038025978618093e-05,3.435440717325158e-06
13,0.00042,2.888394637627477e-06,5.103750273702665e-05,4.0166708816832716e-06
14,0.00047,2.947168581121352e-06,5.0776546047868735e-05,4.422327707786637e-06
15,0.00052,2.961805168737325e-06,5.027988386983325e-05,4.732526580252819e-06
16,0.00058,3.0174757371610475e-06,4.977025574162346e-05,4.934465145660206e-06
17,0.00065,3.082641582775933e-06,4.904118684872937e-05,5.081546828149005e-06
18,0.00073,3.14861899554604e-06,4.76532703263116e-05,5.169818068154312e-06
19,0.00081,2.8423310434696543e-06,4.691925930136819e-05,5.425014893146479e-06
20,0.0009,2.820017056702248e-06,4.5704827460359856e-05,4.9694066737875824e-06
21,0.00101,2.7941521760684106e-06,4.4289477803067154e-05,5.421010736070803e-06
22,0.00113,3.1521474759300496e-06,4.5121324185892903e-05,6.801632102906235e-06
23,0.00126,3.4487534723748207e-06,4.439446275279935e-05,8.272008875928084e-06
24,0.0014,3.94931342267341e-06,4.2906424900752094e-05,9.084352559697074e-06
25,0.00157,4.242664734378997e-06,4.107500952916871e-05,9.87234840675966e-06
26,0.00175,4.338216842163902e-06,3.9290438709771885e-05,1.0272188677153312e-05
27,0.00195,4.177370710008486e-06,3.7447764253129134e-05,1.0941890562959944e-05
28,0.00218,3.79364547675004e-06,3.4864867681445096e-05,1.1405801999492855e-05
29,0.00243,3.592609872435186e-06,3.2741797233759136e-05,1.172883785694151e-05
30,0.00272,3.5339313939748405e-06,2.979831039145912e-05,1.1957666999407467e-05
31,0.00303,3.1786886528436263e-06,2.6540319104345968e-05,1.193650229600823e-05
32,0.00339,3.0597840298749904e-06,2.1727064503861983e-05,1.1292363454891827e-05
33,0.00378,3.4184025330679506e-06,1.7475701528183812e-05,1.0678468528050028e-05
34,0.00422,2.5911542322270407e-06,1.3244196431405886e-05,1.0132312276729537e-05
35,0.00471,1.434064696701936e-06,1.0101624870693256e-05,9.648120529602847e-06
36,0.00526,9.792262391141835e-07,7.434090166364195e-06,9.552590769566883e-06
37,0.00587,1.2765362749967872e-06,5.862718231343286e-06,9.327486199736207e-06
38,0.00655,1.5155432706104496e-06,4.698377056221711e-06,8.920061358710248e-06
39,0.00732,1.7435018059553384e-06,3.4028408931419444e-06,8.933619791744487e-06
40,0.00817,1.80852801690331e-06,2.693444590486047e-06,8.637019045823331e-06
41,0.00912,1.6912674202560132e-06,1.7316649709560036e-06,7.695361939672284e-06
42,0.01018,1.3857210206247731e-06,1.096866058307522e-06,6.612266936994365e-06
43,0.01137,3.3559167353529478e-06,9.646945514138794e-07,4.859426598056779e-06
44,0.01269,3.3618019056087916e-06,6.858180627651214e-07,3.856047468526265e-06
45,0.01416,3.179867061523953e-06,4.2287418663956214e-07,2.7689668752258744e-06
46,0.01581,3.2480147565424177e-06,1.7483947819669284e-07,1.902973751318717e-06
47,0.01765,3.2157682441675963e-06,3.4782606084040016e-08,1.21536569798961e-06
48,0.01971,3.3675693317489427e-06,2.2834935804044035e-08,8.677030159576841e-07
49,0.022,1.4459485441584076e-06,0.0,4.6878881704130354e-08
50,0.0244,1.6608442222086462e-06,2.579439696753569e-09,1.7877844056918638e-08
51,0.02705,1.8252426997453643e-06,3.397903213595085e-09,3.9034458514129297e-10
52,0.03,1.948963856312692e-06,0.0,1.0800895778965227e-08
