,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,1.2000852407307297e-07,4.94136369386935e-05,1.3268348489030876e-06
1,0.00011,1.556323571242776e-07,4.944068201280681e-05,1.6589362892935898e-06
2,0.00012,2.4843057811562057e-07,4.975639734598127e-05,1.5641899448819114e-06
3,0.00014,3.8072837787894093e-07,4.981032991523328e-05,1.581917258051796e-06
4,0.00016,3.8122359378542097e-07,4.93674152547024e-05,1.7474944546437232e-06
5,0.00017,4.517635914559984e-07,4.9733089362620866e-05,1.6986048598379645e-06
6,0.00019,4.964270559113486e-07,5.1416164896498105e-05,1.7881346590048604e-06
7,0.00022,9.070908669375375e-07,5.196809704364976e-05,1.8460620656480824e-06
8,0.00024,1.4075708523650731e-06,5.3033172337597554e-05,2.020813286221175e-06
9,0.00027,1.8963308297090526e-06,5.3929908501857896e-05,1.98010859920686e-06
10,0.0003,1.8848948420930725e-06,5.4899665849391293e-05,2.0868177963355837e-06
11,0.00034,1.953707295903939e-06,5.6029097620848046e-05,2.3804964729066736e-06
12,0.00037,1.7024982726131952e-06,5.6009408446344386e-05,2.568557305257519e-06
13,0.00042,1.6626263767320266e-06,5.6712849937135377e-05,2.833896727851876e-06
14,0.00047,1.5688966087760146e-06,5.686136032681789e-05,3.1351486422453925e-06
15,0.00052,1.5139583263625808e-06,5.656144067652577e-05,3.2249076245235214e-06
16,0.00058,1.2545526325231042e-06,5.632429133362176e-05,3.3582953285398e-06
17,0.00065,1.2644034965528308e-06,5.58239147694906e-05,3.458632508771395e-06
18,0.00073,1.1259384485772523e-06,5.4628156451166495e-05,3.809663722692289e-06
19,0.00081,1.064885746547883e-06,5.342057779195234e-05,3.920720275954217e-06
20,0.0009,1.2192533903605811e-06,5.234645391975305e-05,3.571744629604423e-06
21,0.00101,1.0668372380846202e-06,5.090296707247214e-05,3.939228059325554e-06
22,0.00113,6.09110017948381e-07,4.927946505013421e-05,5.51474400181628e-06
23,0.00126,4.6471131176584397e-07,4.7352707879477695e-05,6.549618521738898e-06
24,0.0014,5.196529587364924e-07,4.510146951925463e-05,7.309003034714743e-06
25,0.00157,3.9381146738241476e-07,4.2176892382589066e-05,8.022115783110718e-06
26,0.00175,6.161538708497417e-07,4.0212965223864256e-05,8.466405579364979e-06
27,0.00195,6.171057401422328e-07,3.799200497698303e-05,8.892654465035536e-06
28,0.00218,5.564015492377171e-07,3.575771222359689e-05,9.355099241603853e-06
29,0.00243,5.691469502295758e-07,3.303238458227953e-05,9.472243182245706e-06
30,0.00272,5.55229656366868e-07,3.044728323630783e-05,9.686337906183206e-06
31,0.00303,6.437517677128578e-07,2.705439942741339e-05,9.490729531697118e-06
32,0.00339,6.400647484445461e-07,2.2329010564809867e-05,8.570440153004545e-06
33,0.00378,5.512498692804185e-07,1.731060524755534e-05,7.582173127422003e-06
34,0.00422,8.81831390490145e-07,1.3194694631938847e-05,6.819709073911508e-06
35,0.00471,1.939719810799016e-06,9.62180140963139e-06,5.890593203306784e-06
36,0.00526,2.5390711654560547e-06,6.897691597402205e-06,4.968684197344761e-06
37,0.00587,2.0958511698142413e-06,5.740343212874681e-06,4.346000477028262e-06
38,0.00655,1.4881332967716784e-06,4.4188612063418255e-06,3.8687406953985636e-06
39,0.00732,9.051721236625973e-07,3.4619004939488893e-06,3.7149094811976126e-06
40,0.00817,5.430612287476657e-07,2.726646040673825e-06,3.1023123406675427e-06
41,0.00912,4.5179696760160533e-07,1.9324042951472846e-06,2.4978896394950514e-06
42,0.01018,3.6066291713902155e-07,1.2682974620175934e-06,1.94712284861088e-06
43,0.01137,1.2437159576771955e-06,1.340174418762907e-06,2.096507470329904e-06
44,0.01269,1.06541092897225e-06,9.88342215706362e-07,1.5317967720120925e-06
45,0.01416,9.437686070373985e-07,6.115387222780317e-07,1.2394767423654268e-06
46,0.01581,9.789280197626242e-07,2.2968523384814445e-07,9.07912267942143e-07
47,0.01765,1.2355277806610078e-06,9.454441564706816e-08,7.48578931701416e-07
48,0.01971,1.539756000001633e-06,2.536968678426678e-08,5.771976985104373e-07
49,0.022,5.732407414233665e-07,2.1260361727369114e-10,1.0546753821713103e-07
50,0.0244,6.201208988839531e-07,2.5554315762737825e-10,4.766363294895934e-08
51,0.02705,7.021088936526427e-07,0.0,7.89547026275178e-09
52,0.03,7.768967603855298e-07,7.638212342984442e-09,0.0
