,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,1.3046520201665016e-08,4.2201916318416196e-05,1.4313880356849912e-06
1,0.00011,1.481229133720869e-08,4.263599366272032e-05,1.521429590107865e-06
2,0.00012,6.022788000269436e-08,4.279708258070187e-05,1.5452091871978017e-06
3,0.00014,1.1834478975747118e-07,4.349394305589016e-05,1.5463087964310746e-06
4,0.00016,1.7203831000541215e-07,4.333269726162376e-05,1.5697427989980066e-06
5,0.00017,2.301558410675052e-07,4.419371354058645e-05,1.4671014044129852e-06
6,0.00019,3.1602052747476763e-07,4.568818316062804e-05,1.5171806607677759e-06
7,0.00022,4.085104925760836e-07,4.6915954776996696e-05,1.4809993878328812e-06
8,0.00024,5.114998237097828e-07,4.798304759670761e-05,1.4445133863298083e-06
9,0.00027,6.085385120301398e-07,4.8986771832895646e-05,1.6366871846996482e-06
10,0.0003,9.25348337645107e-07,5.005993546238357e-05,1.6963832392775969e-06
11,0.00034,9.028482332052656e-07,5.064288942233297e-05,1.8709786152611839e-06
12,0.00037,1.028857678620294e-06,5.068057407992153e-05,2.1261824066701267e-06
13,0.00042,1.215416427420683e-06,5.100621824248618e-05,2.012106542147758e-06
14,0.00047,1.2500672882354756e-06,5.108364550897075e-05,2.5321384861892864e-06
15,0.00052,1.078919005690667e-06,5.020368099487901e-05,2.7847432478706144e-06
16,0.00058,1.3357959658550572e-06,4.9582465408961574e-05,2.7731103563965817e-06
17,0.00065,1.1860403810890784e-06,4.8058893200842214e-05,2.87333348454409e-06
18,0.00073,1.1024115900523584e-06,4.66464033466955e-05,2.778472501373991e-06
19,0.00081,1.2810576231283986e-06,4.540815896322176e-05,2.6943990629179256e-06
20,0.0009,1.19732797744926e-06,4.372113948074671e-05,2.345359146925247e-06
21,0.00101,1.1456674583603829e-06,4.229169728502239e-05,2.2585549406329868e-06
22,0.00113,9.114363978806043e-07,4.040192077147212e-05,3.3870210970116727e-06
23,0.00126,9.56576334766625e-07,3.756025531809889e-05,4.172086785615934e-06
24,0.0014,7.971785819837859e-07,3.49135995891541e-05,4.472387621363036e-06
25,0.00157,8.477677931784443e-07,3.1983058441722526e-05,4.6078278158616374e-06
26,0.00175,8.170578064306224e-07,2.945547038246865e-05,4.635192099248567e-06
27,0.00195,7.014666753373189e-07,2.740980165426539e-05,4.487101238896514e-06
28,0.00218,5.167270341292385e-07,2.4662935619288234e-05,4.572116207270492e-06
29,0.00243,4.1314892652935254e-07,2.2290691743006973e-05,4.2932335567960416e-06
30,0.00272,4.824463375655316e-07,1.9975817430048967e-05,4.391590424132714e-06
31,0.00303,3.931756628234992e-07,1.747708605670772e-05,4.0636111007453386e-06
32,0.00339,3.5774642851248346e-07,1.3987974773696707e-05,3.2770239772061362e-06
33,0.00378,2.4177018163715184e-07,1.096984740536924e-05,2.3656315876031533e-06
34,0.00422,1.4025407606529726e-07,8.325081814117874e-06,1.786975544144325e-06
35,0.00471,3.172899894252e-07,7.068972164400526e-06,1.6614903314211643e-06
36,0.00526,8.15441100791423e-07,5.718262081541047e-06,1.644524796089187e-06
37,0.00587,3.785151238726678e-07,4.21080364767478e-06,1.6158502998458957e-06
38,0.00655,7.819549426691665e-08,3.253946142766096e-06,1.538240965962876e-06
39,0.00732,1.2067102864326446e-07,2.3712717179204883e-06,1.6397432976874553e-06
40,0.00817,1.1705035603573453e-07,2.231251679682196e-06,1.4931582441320909e-06
41,0.00912,8.295461578842325e-08,1.783108881403217e-06,1.0710051615134457e-06
42,0.01018,7.053267529982025e-08,1.5885812528476361e-06,9.112782584973558e-07
43,0.01137,2.693133927291004e-06,1.7853831263701473e-06,7.258326027432715e-07
44,0.01269,2.4884699069462814e-06,1.2684503999708814e-06,5.149984514472412e-07
45,0.01416,2.3648276241278703e-06,9.404990115008058e-07,4.052896592720696e-07
46,0.01581,2.329992406804346e-06,4.753972669192495e-07,2.1201584693466455e-07
47,0.01765,2.22512583815744e-06,1.761953300001903e-07,1.3922117733790824e-07
48,0.01971,2.0506553400480893e-06,5.5166572460553786e-08,7.798589362564375e-08
49,0.022,3.843822818183433e-07,1.8977491186924365e-09,6.289087560596284e-10
50,0.0244,4.310727500309193e-07,2.5959161448420686e-10,0.0
51,0.02705,4.819392796464844e-07,3.123245272031801e-10,0.0
52,0.03,6.456782523726864e-07,0.0,0.0
