,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.415661474359032e-07,4.201339992682639e-05,1.019660686621696e-06
1,0.00011,5.783989733221358e-07,4.243571250168424e-05,1.0289042452099257e-06
2,0.00012,5.730114214174089e-07,4.2205312947593824e-05,1.131414784840139e-06
3,0.00014,6.876306063526349e-07,4.2175489225168055e-05,1.3479721902447652e-06
4,0.00016,7.410476672438919e-07,4.15296611911924e-05,1.1099349198074406e-06
5,0.00017,6.433779737675498e-07,4.16819968017602e-05,1.2534897958124205e-06
6,0.00019,4.5889912641491053e-07,4.255918266377088e-05,1.071671435509243e-06
7,0.00022,7.846277128089272e-07,4.314117423846085e-05,1.0995843125357478e-06
8,0.00024,1.1264951635479417e-06,4.412899888373872e-05,1.301996764676782e-06
9,0.00027,1.099857322280459e-06,4.4422644571530125e-05,1.3289656356581423e-06
10,0.0003,1.6339763975244269e-06,4.504978918667741e-05,1.2184586030383119e-06
11,0.00034,1.8107172819141544e-06,4.5226927856275316e-05,1.4590303162637269e-06
12,0.00037,1.9881238290102173e-06,4.499272964297882e-05,1.776797234745861e-06
13,0.00042,2.436135605453762e-06,4.434853275979421e-05,1.995402033300344e-06
14,0.00047,2.619670454504807e-06,4.423401680953313e-05,2.1914090121039152e-06
15,0.00052,2.554194565410423e-06,4.280748439201484e-05,2.425332090726168e-06
16,0.00058,2.564911737624775e-06,4.202166069110075e-05,2.490477454122221e-06
17,0.00065,2.975741948747058e-06,4.0427282744384286e-05,2.70673751722561e-06
18,0.00073,2.635190574691307e-06,3.95945455538974e-05,2.4898521731190536e-06
19,0.00081,2.665589395695683e-06,3.773877275048771e-05,2.381394213420657e-06
20,0.0009,2.61544568918366e-06,3.547882641488626e-05,2.161522783991164e-06
21,0.00101,2.4845333434088713e-06,3.376027592356478e-05,1.685309508291536e-06
22,0.00113,3.454143577523365e-06,3.263470524067573e-05,2.791338500442641e-06
23,0.00126,3.638502209259536e-06,3.0435824539358173e-05,3.6832310044183373e-06
24,0.0014,4.0299130856516674e-06,2.8279155055613e-05,3.904895177266578e-06
25,0.00157,4.065398457275548e-06,2.569863650984428e-05,4.022359193920042e-06
26,0.00175,4.135195634263978e-06,2.323286269956251e-05,4.145857763874077e-06
27,0.00195,3.8061000130651536e-06,2.1344864402427794e-05,3.801720576793389e-06
28,0.00218,3.6363949656522805e-06,1.9748923769933623e-05,3.900757462501336e-06
29,0.00243,3.2515352993020316e-06,1.7983641814474865e-05,3.7658759884465693e-06
30,0.00272,2.9520463064736963e-06,1.6020816130405074e-05,3.6877442713831253e-06
31,0.00303,2.902585385441315e-06,1.4079257723069723e-05,3.349778703329949e-06
32,0.00339,2.621229698197165e-06,1.0866385372843472e-05,2.485381484354753e-06
33,0.00378,2.8257328458568364e-06,8.161802298232397e-06,1.5266960322992222e-06
34,0.00422,2.127842885855191e-06,6.2998737349571975e-06,1.021317245635536e-06
35,0.00471,8.26362186190933e-07,6.053619294249653e-06,8.527956822196778e-07
36,0.00526,4.503893751448944e-07,6.075593493653663e-06,8.49777335613383e-07
37,0.00587,6.553974065285773e-07,4.343639477399899e-06,7.065707646917328e-07
38,0.00655,6.939612508276361e-07,3.206169597144122e-06,6.829741099590901e-07
39,0.00732,1.1380627475470353e-06,2.61801479868436e-06,9.155125341534584e-07
40,0.00817,1.3299395878427759e-06,2.5602053631074484e-06,8.408295691534775e-07
41,0.00912,1.4450448833813169e-06,1.9982706055781207e-06,5.080828140332271e-07
42,0.01018,1.1804705370723914e-06,1.615235110232505e-06,4.533920989058449e-07
43,0.01137,5.964252777842556e-06,1.7190436117480807e-06,2.0528174863075239e-07
44,0.01269,5.909124475174283e-06,1.3930829481037347e-06,4.080240947969935e-08
45,0.01416,5.9549191059858495e-06,9.142638644621193e-07,6.977883413872532e-08
46,0.01581,5.783081713217432e-06,3.482338267615091e-07,1.678890599003449e-08
47,0.01765,5.987480464217656e-06,6.856568360027162e-08,1.0482240915130372e-08
48,0.01971,6.016259050229699e-06,2.857924854622975e-08,3.123126767878253e-09
49,0.022,1.6379342353570191e-06,4.321277403926545e-09,9.488164395591854e-10
50,0.0244,1.7721266797236118e-06,0.0,0.0
51,0.02705,1.9010372528240086e-06,1.4096500612369047e-09,0.0
52,0.03,1.980398876529201e-06,0.0,0.0
