,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,0.0,4.472265814244435e-05,5.040857159723448e-07
1,0.00011,0.0,4.639899945208049e-05,5.782519133401382e-07
2,0.00012,0.0,4.6769086652451814e-05,6.197875901193325e-07
3,0.00014,0.0,4.699440038521223e-05,7.268011285698794e-07
4,0.00016,0.0,4.691602492245328e-05,7.304268086022439e-07
5,0.00017,0.0,4.711142882070577e-05,5.917196361745761e-07
6,0.00019,0.0,4.796090182119158e-05,6.253610074034837e-07
7,0.00022,0.0,4.736595740697558e-05,6.292154891290422e-07
8,0.00024,3.022877645041718e-08,4.793024082205767e-05,4.762861700375432e-07
9,0.00027,0.0,4.84289601077115e-05,4.902953016202946e-07
10,0.0003,9.557624759828921e-09,4.871326213215548e-05,5.584865954337711e-07
11,0.00034,1.3908661814278226e-08,4.949142260863788e-05,6.267633961863686e-07
12,0.00037,4.142492521039824e-08,4.98837430498199e-05,5.515188808554201e-07
13,0.00042,1.2398859856807576e-08,5.024640293060539e-05,7.643030354927546e-07
14,0.00047,6.423834469832825e-08,5.016666648817338e-05,7.658800993253815e-07
15,0.00052,1.0072196678475722e-08,4.966050197717274e-05,9.239749114476307e-07
16,0.00058,9.025347746356404e-08,4.906524903313749e-05,1.0013686927185236e-06
17,0.00065,7.002752239282942e-08,4.8075242661156e-05,9.73884863276457e-07
18,0.00073,8.158483566629223e-08,4.756773557806742e-05,9.638534340761672e-07
19,0.00081,6.843680444885665e-08,4.651964089595578e-05,1.110803036088578e-06
20,0.0009,6.816601279743691e-09,4.540403621129568e-05,1.2627958463932621e-06
21,0.00101,9.16443612220501e-09,4.373152855853334e-05,1.2382896245844376e-06
22,0.00113,9.841762831810153e-08,4.461563112275337e-05,1.7105083437178126e-06
23,0.00126,6.338444187424795e-08,4.3968184368302536e-05,2.1530357761873744e-06
24,0.0014,1.3787775653580543e-07,4.253782225346253e-05,2.508410901634371e-06
25,0.00157,5.764088685040071e-08,4.0513382568488705e-05,2.573112694540534e-06
26,0.00175,6.073902394793116e-08,3.8632434821131824e-05,2.5004120954854597e-06
27,0.00195,4.5619494828163374e-08,3.651198283726336e-05,2.821113541604667e-06
28,0.00218,1.4589249611321369e-08,3.4417917670670226e-05,3.1655202595816473e-06
29,0.00243,7.666192495087677e-08,3.209205006714788e-05,3.2332011354504227e-06
30,0.00272,7.656459715771602e-08,2.9502975388788665e-05,3.413264795996365e-06
31,0.00303,9.105638229402196e-08,2.6325855976429432e-05,3.3751390529948413e-06
32,0.00339,8.770957643026844e-08,2.150978752404792e-05,3.1103940225930146e-06
33,0.00378,4.378763767222732e-08,1.694144488904534e-05,2.926793861656264e-06
34,0.00422,7.586026957154742e-08,1.2893229884778707e-05,2.7884819481047143e-06
35,0.00471,1.9161708972944675e-08,9.997341091157376e-06,2.8197416262912517e-06
36,0.00526,4.237079636293965e-08,7.484672015094034e-06,2.5772699841191227e-06
37,0.00587,6.310699561248733e-08,5.9080071450680786e-06,2.4970763784839483e-06
38,0.00655,7.3454725441816e-08,4.763777558277836e-06,2.284021667261645e-06
39,0.00732,5.159381994040761e-08,3.434660153110159e-06,2.4420230932711296e-06
40,0.00817,4.2629504405060935e-08,2.6443272968080205e-06,2.4210191140412627e-06
41,0.00912,3.4559877507307795e-08,1.7941305021839654e-06,2.2226527276048235e-06
42,0.01018,1.4900004683990163e-08,1.0582700386819558e-06,1.7555916145349575e-06
43,0.01137,3.945123604827118e-08,1.0343035756465095e-06,1.5024477959234091e-06
44,0.01269,3.818991590349336e-08,7.062562654860194e-07,8.566756729762213e-07
45,0.01416,4.215730173434448e-08,4.817654625936754e-07,2.979218971993536e-07
46,0.01581,1.623839204293716e-08,1.426381791800489e-07,1.5290327953113676e-07
47,0.01765,2.180098232283001e-08,4.694588715461527e-08,8.16506190438732e-08
48,0.01971,2.4246186784807647e-09,3.187869130589024e-08,4.341421751993484e-08
49,0.022,0.0,0.0,2.5746314773812632e-08
50,0.0244,1.2786024016973565e-08,2.5486199940408137e-08,0.0
51,0.02705,0.0,1.2743099970204068e-08,0.0
52,0.03,0.0,0.0,1.2873157386906316e-08
