,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,0.0,3.766960146599346e-05,9.87877543200282e-07
1,0.00011,0.0,3.841835462495922e-05,9.132833810266803e-07
2,0.00012,7.949150998521015e-09,3.860449992262961e-05,8.908091102540294e-07
3,0.00014,0.0,3.770927177599877e-05,9.638477483100515e-07
4,0.00016,0.0,3.741024527563223e-05,8.547227424877402e-07
5,0.00017,0.0,3.769456152487345e-05,9.695376130990134e-07
6,0.00019,0.0,3.7804322305275824e-05,8.515199107026259e-07
7,0.00022,1.9783261740864648e-07,3.863166864959373e-05,8.90185766359697e-07
8,0.00024,3.7387346937013713e-07,3.8873413542147295e-05,8.187699770536395e-07
9,0.00027,5.904216625848396e-07,3.9328768146494614e-05,9.17837377977958e-07
10,0.0003,6.365216203658718e-07,3.959870438159961e-05,1.001628269787952e-06
11,0.00034,7.977216905047746e-07,4.055507605387671e-05,1.3399998941391634e-06
12,0.00037,9.967236181493034e-07,4.064843708926178e-05,1.2860394122523748e-06
13,0.00042,8.020132497159232e-07,4.086832026186871e-05,1.2315975002297008e-06
14,0.00047,1.0042699922313438e-06,4.0526140403115896e-05,1.5598396556425785e-06
15,0.00052,9.678828347744489e-07,3.9904804807794216e-05,1.4143812919467331e-06
16,0.00058,1.0136729494875949e-06,3.944007077688675e-05,1.6275358167909392e-06
17,0.00065,7.010473049961078e-07,3.8200198986934006e-05,1.6308155311737557e-06
18,0.00073,9.598854225504922e-07,3.7153579359154105e-05,1.7784567390959285e-06
19,0.00081,9.40727919132022e-07,3.552465235105464e-05,1.6371460574941915e-06
20,0.0009,9.940066064732976e-07,3.4028844215823265e-05,1.7272782708394608e-06
21,0.00101,1.136863668914509e-06,3.182135335424629e-05,1.7828137116475387e-06
22,0.00113,6.565691787698969e-07,3.358686387328436e-05,2.630370873570747e-06
23,0.00126,7.316431181877989e-07,3.3896490034101095e-05,3.4189315711662466e-06
24,0.0014,7.043934115713001e-07,3.363442645796907e-05,4.1358680254888016e-06
25,0.00157,7.388744199098818e-07,3.253033965122547e-05,4.587357809407541e-06
26,0.00175,7.57657795179148e-07,3.1154439958651115e-05,4.6309457410644344e-06
27,0.00195,9.259095897952772e-07,2.970420689175791e-05,4.898770293330516e-06
28,0.00218,9.120470938453536e-07,2.880245564537309e-05,5.215226323007476e-06
29,0.00243,8.963232340940742e-07,2.704214038622624e-05,5.378882123364776e-06
30,0.00272,9.247572163180149e-07,2.451319732765254e-05,5.4933802417365e-06
31,0.00303,1.0044525408902863e-06,2.117875793361953e-05,5.025327852749497e-06
32,0.00339,9.205484908628143e-07,1.7360869106095434e-05,4.55254813239638e-06
33,0.00378,9.635764014085941e-07,1.3969191024365845e-05,4.598188908730277e-06
34,0.00422,1.31433442408531e-06,1.042729321206032e-05,4.321373766982146e-06
35,0.00471,1.1489011573403615e-06,7.925048331281476e-06,3.900801935964976e-06
36,0.00526,1.04804989620521e-06,5.168386082184044e-06,3.76660049119208e-06
37,0.00587,1.2092824895889798e-06,4.6262092713630164e-06,4.030937760745902e-06
38,0.00655,1.3872983767266123e-06,3.827047456842105e-06,4.365952276010376e-06
39,0.00732,1.595948843206724e-06,2.995073467419354e-06,4.856421443464617e-06
40,0.00817,1.4484104843218241e-06,2.52811056740805e-06,4.781796078793071e-06
41,0.00912,1.481280052778052e-06,1.7374217759024655e-06,4.3380068185997135e-06
42,0.01018,1.5465355511614854e-06,1.0738768600941358e-06,3.65000082082967e-06
43,0.01137,2.214380580698806e-06,9.732519200864538e-07,5.457895381774647e-06
44,0.01269,2.216735133764599e-06,5.992391098780226e-07,3.983163313964846e-06
45,0.01416,2.1047631137370314e-06,3.682706736981777e-07,2.522029320198764e-06
46,0.01581,2.1282125569267943e-06,1.6379859780086967e-07,1.3326567588251749e-06
47,0.01765,2.1465830616115533e-06,4.3403693059957175e-08,5.449463273677753e-07
48,0.01971,2.162361306250794e-06,3.585887521969339e-08,2.5285936297518487e-07
49,0.022,5.030565834562893e-07,0.0,4.598637719796394e-08
50,0.0244,6.051365949218926e-07,0.0,1.5138267337384726e-08
51,0.02705,6.740546175126549e-07,0.0,0.0
52,0.03,2.92802459420526e-07,0.0,1.2618526197243521e-08
