,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.481998196636327e-06,5.767471624213323e-05,1.0414374973715742e-05
1,0.00011,6.162206163908878e-06,5.764558571595472e-05,1.0171337204983057e-05
2,0.00012,6.634401784963815e-06,5.694543104473002e-05,9.49459983339536e-06
3,0.00014,7.353155510352028e-06,5.592988415164753e-05,8.738321961058959e-06
4,0.00016,7.96369715873812e-06,5.5650726292464454e-05,8.179508088657228e-06
5,0.00017,7.673544787451663e-06,5.545882397016674e-05,8.06629672634182e-06
6,0.00019,8.215126573496037e-06,5.6261727660205666e-05,7.373105624830182e-06
7,0.00022,9.747934469041306e-06,5.597864045796997e-05,7.830351669923054e-06
8,0.00024,1.0706538579804373e-05,5.6524487055074294e-05,8.1819193798518e-06
9,0.00027,1.2152703013816276e-05,5.6911216477687526e-05,8.725825975475604e-06
10,0.0003,1.3286265919333585e-05,5.6944837457086204e-05,9.12574730058043e-06
11,0.00034,1.378782212979015e-05,5.76953521664446e-05,9.907586056336097e-06
12,0.00037,1.4683272774037e-05,5.7674709713162205e-05,1.0252633202127963e-05
13,0.00042,1.5222918694899286e-05,5.7290575062582496e-05,1.0592257500078417e-05
14,0.00047,1.5484959715478813e-05,5.6378620165411166e-05,1.090406123329898e-05
15,0.00052,1.563392454363289e-05,5.532759091512428e-05,1.0306848528241532e-05
16,0.00058,1.6014931458824845e-05,5.414809931762522e-05,1.037677416453218e-05
17,0.00065,1.579241284802189e-05,5.2533653600382e-05,9.964905510748147e-06
18,0.00073,1.5499750000182004e-05,5.107019118725191e-05,1.0011122289245829e-05
19,0.00081,1.528837241608597e-05,4.966055954645213e-05,9.493618926062347e-06
20,0.0009,1.4961529912865591e-05,4.79993754219588e-05,9.26267881015484e-06
21,0.00101,1.464062482896534e-05,4.637446438224702e-05,8.872217510804423e-06
22,0.00113,1.5744799360335178e-05,4.525175572148739e-05,1.0526816490889013e-05
23,0.00126,1.5914927654725548e-05,4.348290269520959e-05,1.1865760307208004e-05
24,0.0014,1.611931040453197e-05,4.177801548162063e-05,1.294070699153426e-05
25,0.00157,1.6040310461382513e-05,3.926217148146261e-05,1.3367490397994585e-05
26,0.00175,1.557154581257166e-05,3.6844774937426507e-05,1.3597605409493954e-05
27,0.00195,1.4958960015233756e-05,3.390740513234829e-05,1.3620183117934288e-05
28,0.00218,1.3826690191185916e-05,3.1020703017524753e-05,1.3585752553146186e-05
29,0.00243,1.2769693836902174e-05,2.830236054661449e-05,1.3237692417879273e-05
30,0.00272,1.203424645266984e-05,2.540197891070445e-05,1.2656323825026614e-05
31,0.00303,1.1585965509339385e-05,2.21066057145879e-05,1.1546916603524487e-05
32,0.00339,1.0744244176678364e-05,1.7998191093064718e-05,1.0315928425834356e-05
33,0.00378,9.842303569224257e-06,1.3938042878454315e-05,9.58241602486736e-06
34,0.00422,9.121049742635718e-06,1.0734486748025118e-05,8.752607355610009e-06
35,0.00471,8.922852711546933e-06,8.047632653926779e-06,8.072223818269509e-06
36,0.00526,7.785353237112469e-06,5.935284439403323e-06,7.276369549365273e-06
37,0.00587,7.943112662731674e-06,4.708445873780285e-06,7.192131319182083e-06
38,0.00655,7.769237961855366e-06,3.2930611498360354e-06,6.61991596749522e-06
39,0.00732,7.10477818809095e-06,2.396352060796633e-06,6.297327945573289e-06
40,0.00817,6.168345761175157e-06,1.369572116179737e-06,5.734062021870781e-06
41,0.00912,5.402919321033599e-06,8.77083893379225e-07,4.972783992403194e-06
42,0.01018,4.9221727448319425e-06,5.658314821752603e-07,4.129052431074887e-06
43,0.01137,8.025030559659572e-06,4.81911432894812e-07,2.053799684915733e-06
44,0.01269,7.385154106511609e-06,3.76638119880293e-07,1.5087548528952463e-06
45,0.01416,6.815087463090271e-06,3.2926482086207407e-07,9.74775726614413e-07
46,0.01581,6.107242314787933e-06,1.4022107119100912e-07,6.714744042591229e-07
47,0.01765,5.594404109526875e-06,2.6237713571420137e-08,5.068781413133649e-07
48,0.01971,5.117950106214683e-06,1.341712085621193e-08,4.0688176694099066e-07
49,0.022,1.6074819964070025e-06,0.0,5.486924741530181e-08
50,0.0244,1.4517340270887482e-06,0.0,2.181366246935493e-08
51,0.02705,1.3476821765934556e-06,0.0,0.0
52,0.03,1.5227344740682215e-06,0.0,8.099266821702982e-10
