,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,6.078843016950552e-07,4.865277178360149e-05,1.6433704825680104e-06
1,0.00011,4.848849437833565e-07,5.048095941820029e-05,2.1172193102918543e-06
2,0.00012,5.67511441046047e-07,5.161896106407555e-05,2.2654180187295853e-06
3,0.00014,5.552334042982515e-07,5.259991845895254e-05,2.3540406190972647e-06
4,0.00016,7.866823213389703e-07,5.340734588463214e-05,2.436254372838715e-06
5,0.00017,6.385061126628114e-07,5.3864448159498164e-05,2.4621536831384794e-06
6,0.00019,7.688112877256555e-07,5.486361674684209e-05,2.4914791638934843e-06
7,0.00022,1.0643197689466746e-06,5.477898449714816e-05,2.8091516502668068e-06
8,0.00024,1.5181060362023956e-06,5.5831941560590164e-05,2.706851875937861e-06
9,0.00027,1.9581934198825013e-06,5.6746785640497464e-05,3.2934236578319823e-06
10,0.0003,2.33814153891684e-06,5.7451220247519864e-05,3.737402304644407e-06
11,0.00034,2.502704157296383e-06,5.8812930103130337e-05,4.0570573786183525e-06
12,0.00037,2.9056584543871413e-06,5.90339192083619e-05,4.248750593386586e-06
13,0.00042,2.9433564303376635e-06,6.0118938410916955e-05,4.820343649018805e-06
14,0.00047,3.0073633923353962e-06,5.9737446477407557e-05,5.245610269590819e-06
15,0.00052,3.0241076459199613e-06,6.016495544479226e-05,5.850051456954501e-06
16,0.00058,3.0780852919783784e-06,5.980940130201626e-05,5.907694767774985e-06
17,0.00065,3.146185548883936e-06,5.9483291960651184e-05,6.22076895843272e-06
18,0.00073,3.2181957693621466e-06,5.879352791577662e-05,6.383080622970072e-06
19,0.00081,2.9013946696149966e-06,5.857685361710796e-05,6.933084950121197e-06
20,0.0009,2.88516001180887e-06,5.738241143995014e-05,6.443823240037987e-06
21,0.00101,2.857891811019811e-06,5.685873835229646e-05,7.4830551441368275e-06
22,0.00113,3.2156080898374638e-06,5.8010618284090614e-05,9.452949303059584e-06
23,0.00126,3.5308510834218386e-06,5.7621999568547293e-05,1.054313617961371e-05
24,0.0014,4.0285685696696935e-06,5.6540770638196985e-05,1.1719626335933514e-05
25,0.00157,4.335260523400213e-06,5.593860316795274e-05,1.1964712558900811e-05
26,0.00175,4.472717136948313e-06,5.4506574298250316e-05,1.3325827586139724e-05
27,0.00195,4.305198040554929e-06,5.385017540986514e-05,1.5013954434134106e-05
28,0.00218,3.875625507524116e-06,5.018247431295952e-05,1.552331408813378e-05
29,0.00243,3.668501394938595e-06,4.952134116752255e-05,1.5514633865906274e-05
30,0.00272,3.810484669528127e-06,4.6806508819981346e-05,1.6829457039579662e-05
31,0.00303,3.5990071126602013e-06,4.391788557590761e-05,1.6717132431789618e-05
32,0.00339,3.4446022591402787e-06,3.885179261958664e-05,1.5679499396908054e-05
33,0.00378,3.688657491985151e-06,3.3475296693271636e-05,1.5293310521956666e-05
34,0.00422,3.24704549619783e-06,2.95937036195664e-05,1.4296127559666656e-05
35,0.00471,2.3728847664085356e-06,2.7189011754108635e-05,1.4309436619498333e-05
36,0.00526,1.7946300590251218e-06,2.274288657662386e-05,1.3767950707276181e-05
37,0.00587,2.304741243684145e-06,2.2105901593243273e-05,1.3552993181487673e-05
38,0.00655,2.5547650533739158e-06,2.1051607719987606e-05,1.3590629617872784e-05
39,0.00732,3.256496471956714e-06,1.924060614683412e-05,1.3821046211840625e-05
40,0.00817,2.9453758217349134e-06,1.7791869934147006e-05,1.317990167326236e-05
41,0.00912,2.9958354062130797e-06,1.8218752160612163e-05,1.2825985834638065e-05
42,0.01018,2.6812882967602137e-06,2.266244686123636e-05,1.1479709351301085e-05
43,0.01137,3.541068186298166e-06,9.406571810068233e-06,5.09201821504584e-06
44,0.01269,3.606918475417548e-06,8.321433128828131e-06,4.069304624834623e-06
45,0.01416,3.4271185993243763e-06,6.8310935760740825e-06,2.885863395585013e-06
46,0.01581,3.505552112236228e-06,3.4983762650364754e-06,1.9991615660169893e-06
47,0.01765,3.6049526755599436e-06,1.662568771619919e-06,1.2980700593550949e-06
48,0.01971,3.775086391473742e-06,7.177075774233724e-07,9.391298925136723e-07
49,0.022,1.9215815456993932e-06,2.4136201039040487e-07,1.5941940344351536e-07
50,0.0244,2.365601478037742e-06,1.0221716844784588e-07,6.114959275199305e-08
51,0.02705,2.7353067324557187e-06,3.1020818170049096e-08,1.3970663862572663e-08
52,0.03,3.2208185684385e-06,0.0,2.740546083423689e-08
