,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,4.0606841519694326e-07,4.533757375582285e-05,2.224715017421149e-06
1,0.00011,3.962353684560125e-07,4.695680345093544e-05,2.8633497859747725e-06
2,0.00012,5.253790850226691e-07,4.756569929120367e-05,3.140442285545294e-06
3,0.00014,4.934074738167039e-07,4.831737219409418e-05,3.47165116612357e-06
4,0.00016,6.942841098472481e-07,4.873451273366102e-05,3.4308893305366264e-06
5,0.00017,4.977949306162914e-07,4.883431825011704e-05,3.633653826358423e-06
6,0.00019,4.658320469908185e-07,5.0019491011964564e-05,3.742961665497036e-06
7,0.00022,9.357123622542229e-07,4.974817607701996e-05,3.9456117254660435e-06
8,0.00024,1.2954258402501151e-06,5.034166625052843e-05,4.1926044892675014e-06
9,0.00027,1.8041877345636432e-06,5.0615199945818544e-05,4.387917858819522e-06
10,0.0003,2.085232761025472e-06,5.111334988570749e-05,4.736087510889324e-06
11,0.00034,2.365201836010633e-06,5.182017007889077e-05,5.155151687215778e-06
12,0.00037,2.43424409363419e-06,5.195742577910518e-05,5.54352673523068e-06
13,0.00042,2.3842483275274763e-06,5.240393129647131e-05,6.150221215701155e-06
14,0.00047,2.414141622660677e-06,5.181300301242237e-05,6.4052493797714875e-06
15,0.00052,2.514639852892884e-06,5.1403008159258536e-05,7.122030069780772e-06
16,0.00058,2.393958117155632e-06,5.035025184060573e-05,7.632116882856667e-06
17,0.00065,2.473013532050396e-06,4.916211656609109e-05,8.288663151502459e-06
18,0.00073,2.1012252556839784e-06,4.786184112849493e-05,8.580318397225061e-06
19,0.00081,2.1371296078249357e-06,4.659794964055925e-05,8.72783089872985e-06
20,0.0009,2.2501243830602693e-06,4.51477433947765e-05,8.690412552776866e-06
21,0.00101,2.2024849969418167e-06,4.329451068207525e-05,9.428420699203844e-06
22,0.00113,2.5784021052301576e-06,4.335769044826816e-05,1.178716050253609e-05
23,0.00126,2.8670750105578625e-06,4.2213564373828694e-05,1.4042170115000175e-05
24,0.0014,3.20405716661564e-06,4.048084558619283e-05,1.7026393833393868e-05
25,0.00157,3.31457747988563e-06,3.8351174626059604e-05,1.912895846691914e-05
26,0.00175,3.4004482446387333e-06,3.60623391052833e-05,2.0262232414518468e-05
27,0.00195,3.3730796205586133e-06,3.406742108395803e-05,2.171438180509856e-05
28,0.00218,3.062007160874747e-06,3.220337398379708e-05,2.256246422830788e-05
29,0.00243,2.905806155768157e-06,2.989048473281525e-05,2.3767654934132936e-05
30,0.00272,2.7346624909258065e-06,2.7549913942597394e-05,2.4631222282874733e-05
31,0.00303,2.559110509185096e-06,2.485971831192577e-05,2.456161216120431e-05
32,0.00339,2.4327495789527825e-06,2.042823485581611e-05,2.3625242983501512e-05
33,0.00378,2.70435833404698e-06,1.647000156528267e-05,2.212567669366726e-05
34,0.00422,2.015999776482291e-06,1.1765124327663934e-05,2.1467364440153128e-05
35,0.00471,1.0281853799715444e-06,8.485528499818484e-06,2.080437526911883e-05
36,0.00526,7.967663596505916e-07,5.922309646391069e-06,1.9921059910651887e-05
37,0.00587,9.524493249561464e-07,4.287677195128252e-06,1.9641847848485786e-05
38,0.00655,1.1790082299873337e-06,2.776056181321734e-06,1.931033161404636e-05
39,0.00732,1.3855656686603241e-06,1.7998124962408387e-06,1.8871579259238635e-05
40,0.00817,1.502921669744464e-06,1.645163951047989e-06,1.7496132573385826e-05
41,0.00912,1.3665869837935168e-06,1.1243230663962194e-06,1.592675804735574e-05
42,0.01018,1.1227143797394907e-06,8.369476732420134e-07,1.4030616092044946e-05
43,0.01137,2.938938348477393e-06,9.611463221878762e-07,8.92424066910483e-06
44,0.01269,2.8928587532307755e-06,8.242582204080255e-07,7.53207039228087e-06
45,0.01416,2.823533700853742e-06,5.173207575824072e-07,6.139457137363837e-06
46,0.01581,2.9227873842998816e-06,2.729462962812457e-07,5.030644987672472e-06
47,0.01765,2.9263307572832808e-06,1.9046676495308444e-07,4.092102281493146e-06
48,0.01971,3.093907153317606e-06,2.356309078093652e-07,3.350464520527782e-06
49,0.022,1.278361188238928e-06,2.7831860561224763e-07,1.7579495396833175e-07
50,0.0244,1.4521001052464115e-06,2.948560161911793e-07,1.4474440152052908e-07
51,0.02705,1.6064175094458975e-06,2.556548638168125e-07,1.1450021766345153e-07
52,0.03,1.738256924282145e-06,1.6715069304794716e-07,8.16396821813793e-08
