,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,3.626119260337415e-07,4.641236542580511e-05,1.0184529174188532e-06
1,0.00011,5.063900366743365e-07,4.808231303262752e-05,1.3663896192367433e-06
2,0.00012,5.759941317024269e-07,4.863092260367692e-05,1.5331215563029515e-06
3,0.00014,5.268516060451878e-07,4.9321542682723294e-05,1.4977423760700175e-06
4,0.00016,6.348700915617681e-07,4.925031544893199e-05,1.5626532988803263e-06
5,0.00017,6.116327762409188e-07,4.9310924485365086e-05,1.4959093175144874e-06
6,0.00019,7.379286718691331e-07,4.9908119622633383e-05,1.6192746215804398e-06
7,0.00022,8.869759878332145e-07,4.978684141939919e-05,1.3820035221289228e-06
8,0.00024,1.4303276582275224e-06,5.0078777556454117e-05,1.614667515611141e-06
9,0.00027,1.869272373163361e-06,5.055833092227322e-05,1.9192877971907028e-06
10,0.0003,2.093141137257812e-06,5.1151346284406184e-05,2.0638004621108e-06
11,0.00034,2.526657598981094e-06,5.245759994129422e-05,2.2913603135821083e-06
12,0.00037,2.6166431922458166e-06,5.2965579781260055e-05,2.605180858235012e-06
13,0.00042,2.565689711717009e-06,5.327040079503275e-05,2.863016049001257e-06
14,0.00047,2.4087309510112025e-06,5.3405865293382866e-05,3.184946530515213e-06
15,0.00052,2.6857117134734342e-06,5.2773230498316497e-05,3.4018108069763382e-06
16,0.00058,2.5333561217308663e-06,5.215235372761096e-05,3.549866491536544e-06
17,0.00065,2.407332447946881e-06,5.175707499476906e-05,3.7041457641947306e-06
18,0.00073,2.6714830885744982e-06,5.099157429442287e-05,3.7295665986311653e-06
19,0.00081,2.4010426489792955e-06,5.020553833072023e-05,3.645961446389917e-06
20,0.0009,2.257166255604937e-06,4.8788675884556094e-05,3.446035339163803e-06
21,0.00101,2.4045297604628328e-06,4.721711423136681e-05,3.4348351925804788e-06
22,0.00113,2.8188081888848e-06,4.861906015409005e-05,4.540062019578717e-06
23,0.00126,2.827492242527094e-06,4.8721632748461465e-05,5.4403975862720864e-06
24,0.0014,3.288675592055385e-06,4.746185415549557e-05,6.176939923946095e-06
25,0.00157,3.49894542731281e-06,4.5248897483526594e-05,7.043333517728673e-06
26,0.00175,3.709944325053107e-06,4.332009750286082e-05,7.543365598741028e-06
27,0.00195,3.631786688117424e-06,4.156571592696426e-05,7.692967473984381e-06
28,0.00218,3.447709345362104e-06,3.965751083830585e-05,8.000685967023697e-06
29,0.00243,3.284120017754308e-06,3.724384491246663e-05,8.11479206206756e-06
30,0.00272,3.0249022621568137e-06,3.506318370745077e-05,8.251951458158618e-06
31,0.00303,2.9030255535443832e-06,3.115791828131406e-05,8.280766476826843e-06
32,0.00339,2.8715662345777187e-06,2.601093990032986e-05,7.915324671858862e-06
33,0.00378,3.124099190413513e-06,2.135433522099211e-05,7.3766875478032895e-06
34,0.00422,2.404845154219157e-06,1.672415509265975e-05,7.097826743500023e-06
35,0.00471,1.344545524131092e-06,1.3822868116390244e-05,6.72160327336319e-06
36,0.00526,8.617844411393974e-07,1.084663853466542e-05,6.556704988086182e-06
37,0.00587,1.021102788342179e-06,8.945649175207849e-06,6.730310565845446e-06
38,0.00655,1.4350069529756187e-06,7.351326951726831e-06,6.73499946292211e-06
39,0.00732,1.6651466227848155e-06,5.965479540178521e-06,6.827048301002377e-06
40,0.00817,1.7981676955631226e-06,5.088075574074594e-06,6.3294427445400995e-06
41,0.00912,1.6539525992493964e-06,3.7455217340708207e-06,5.840596062190384e-06
42,0.01018,1.351924945357675e-06,2.5258128024407084e-06,5.2788918188061096e-06
43,0.01137,3.357201864620208e-06,2.031487488159235e-06,4.116841905752975e-06
44,0.01269,3.149603030801822e-06,1.3383792183338885e-06,3.426679408727488e-06
45,0.01416,3.160723493670628e-06,6.687252204022602e-07,2.6844197238184902e-06
46,0.01581,3.13874585125504e-06,2.4402989116110664e-07,1.8177892813048287e-06
47,0.01765,3.2120343377064567e-06,8.326601275100317e-08,1.4325992341965566e-06
48,0.01971,3.406012946577245e-06,4.4413972095324295e-08,9.065759491379787e-07
49,0.022,1.4178363803370486e-06,7.3887269388810786e-09,6.509122077085431e-08
50,0.0244,1.6489915500464162e-06,1.7679208206188731e-09,2.0496478877735983e-08
51,0.02705,1.8148102440842968e-06,0.0,2.3758670629604952e-08
52,0.03,1.9150257267294256e-06,0.0,0.0
