,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.631685185333465e-07,4.462510989918673e-05,2.0982518018716908e-06
1,0.00011,5.982218437558548e-07,4.5604858852678963e-05,2.5783115803361027e-06
2,0.00012,6.092736353308591e-07,4.63732019346655e-05,2.7562007077660165e-06
3,0.00014,5.910359406168961e-07,4.648765736721916e-05,2.8230361449569263e-06
4,0.00016,7.90565907354967e-07,4.660762644955142e-05,2.9710150857604933e-06
5,0.00017,5.861614866303571e-07,4.652436396408183e-05,2.9827406913309533e-06
6,0.00019,8.029835390697709e-07,4.755554447535246e-05,2.9967065630896494e-06
7,0.00022,1.1244600918929457e-06,4.7056167770071054e-05,3.070310701052145e-06
8,0.00024,1.5869302720990594e-06,4.7698450402819705e-05,3.1663774064152345e-06
9,0.00027,1.9934468944139093e-06,4.7997303931387234e-05,3.424606942364344e-06
10,0.0003,2.355728680075313e-06,4.848780821078451e-05,3.6781430786959762e-06
11,0.00034,2.5301590418056028e-06,4.920970027676585e-05,4.164763578199237e-06
12,0.00037,3.126214536607096e-06,4.913899356233349e-05,4.535464771592654e-06
13,0.00042,2.913895121451528e-06,4.965996281152698e-05,5.023282501730711e-06
14,0.00047,2.991817623680435e-06,4.934312605065444e-05,5.570990003808204e-06
15,0.00052,3.073841584992956e-06,4.872114538581371e-05,5.878924483584328e-06
16,0.00058,2.992499262317298e-06,4.816769821961905e-05,6.304399758296454e-06
17,0.00065,3.0787893051954e-06,4.715979169920917e-05,6.5083952716873585e-06
18,0.00073,3.1039679409951362e-06,4.584051045110378e-05,6.8150338009064936e-06
19,0.00081,2.9945638045044887e-06,4.491295874761925e-05,6.9250009222977985e-06
20,0.0009,3.188192574567792e-06,4.353640309851955e-05,6.777414192828836e-06
21,0.00101,2.956461818795579e-06,4.217528847679232e-05,7.113041606370364e-06
22,0.00113,3.3267000368343287e-06,4.248171778097072e-05,8.936578829235492e-06
23,0.00126,3.7958248703384337e-06,4.148326770003095e-05,1.068579679758859e-05
24,0.0014,4.227110376826559e-06,3.978753049980178e-05,1.1568680799424719e-05
25,0.00157,4.518405423727211e-06,3.753775148276966e-05,1.2794724745463147e-05
26,0.00175,4.51297237305622e-06,3.5672473903517204e-05,1.333563236928273e-05
27,0.00195,4.340298630761655e-06,3.3579945065280955e-05,1.4043076241399085e-05
28,0.00218,3.9382866698483135e-06,3.098770600325236e-05,1.4632936013403406e-05
29,0.00243,3.710881801363683e-06,2.868067158632417e-05,1.5134946162905399e-05
30,0.00272,3.60040646481035e-06,2.571433592138151e-05,1.5584760402806807e-05
31,0.00303,3.322259479639822e-06,2.2728501312655318e-05,1.531804673299314e-05
32,0.00339,3.163655448193225e-06,1.8224590730781562e-05,1.4396302242232428e-05
33,0.00378,3.4407744494040564e-06,1.4316239052637582e-05,1.3565127199354715e-05
34,0.00422,2.6251960458114934e-06,1.0362305380990017e-05,1.2749496304334696e-05
35,0.00471,1.445917559292123e-06,7.550287536028728e-06,1.2063196095473607e-05
36,0.00526,1.0825508782005608e-06,5.407558950127152e-06,1.1470018506587986e-05
37,0.00587,1.2544821914331594e-06,3.877186089701591e-06,1.1380745045013158e-05
38,0.00655,1.5101871275928296e-06,2.621759087408009e-06,1.082811902046059e-05
39,0.00732,1.7356816117342228e-06,1.6759805983367943e-06,1.0429642148941685e-05
40,0.00817,1.8536936117666425e-06,1.4913573221710585e-06,9.682429573204627e-06
41,0.00912,1.7078701034219512e-06,1.0562902736610331e-06,8.288606139153693e-06
42,0.01018,1.3001200361278142e-06,6.673589618050974e-07,6.907122571186579e-06
43,0.01137,3.4583653486771163e-06,7.11948973986639e-07,4.923476973755508e-06
44,0.01269,3.4175913474758764e-06,5.695232167797934e-07,3.742970447090545e-06
45,0.01416,3.2395405870631086e-06,3.889625940136781e-07,2.602903275871301e-06
46,0.01581,3.3331933624209665e-06,1.525705528095648e-07,1.6967708560016216e-06
47,0.01765,3.2760484745206884e-06,1.7230176287697417e-08,1.1173639081323775e-06
48,0.01971,3.407659833139077e-06,2.8958016501552642e-08,7.268725837462582e-07
49,0.022,1.4267534383406946e-06,0.0,1.8876250471603642e-08
50,0.0244,1.648203316273231e-06,4.565025994470411e-09,8.87754686524536e-09
51,0.02705,1.8012816666523503e-06,6.530945311974082e-10,3.1319905770375723e-09
52,0.03,1.923568785961873e-06,0.0,1.0777059032867196e-08
