,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.712684876131057e-07,5.151307338355221e-05,1.562630904487481e-06
1,0.00011,5.065776457121145e-07,5.2418421821093326e-05,1.8931972585608448e-06
2,0.00012,6.613085037565036e-07,5.2448459388553887e-05,2.1157970301593516e-06
3,0.00014,5.238649523889437e-07,5.106282026448093e-05,2.2916442440692667e-06
4,0.00016,6.605240122269982e-07,5.041168501969234e-05,2.194840125665174e-06
5,0.00017,5.378488561085679e-07,5.001298290631711e-05,2.1171950502658958e-06
6,0.00019,6.292480915174656e-07,4.952221266865392e-05,2.157179506499341e-06
7,0.00022,1.1891816189625898e-06,4.87303361750677e-05,2.2945543082068644e-06
8,0.00024,1.429065572113084e-06,4.926530338152064e-05,2.3131023721358963e-06
9,0.00027,1.8725897600124598e-06,4.974518418124309e-05,2.658234979211551e-06
10,0.0003,2.2814503967504747e-06,5.0373250466703e-05,2.965442152811751e-06
11,0.00034,2.629468315556606e-06,5.125014287626843e-05,3.2456906239676048e-06
12,0.00037,2.9803749790860863e-06,5.1607993621268674e-05,3.6257005953468973e-06
13,0.00042,2.888971655803089e-06,5.206176961274666e-05,3.932036598872912e-06
14,0.00047,2.968170772590664e-06,5.157899602771986e-05,4.266650420446186e-06
15,0.00052,2.970079244676497e-06,5.110622734120226e-05,4.674273570867808e-06
16,0.00058,2.8117906047823964e-06,5.056725718125886e-05,4.990518527594483e-06
17,0.00065,2.905108566225373e-06,4.973425925649433e-05,5.09679043903067e-06
18,0.00073,3.079233501579481e-06,4.8733555489945616e-05,5.225168782664073e-06
19,0.00081,2.67987481026613e-06,4.7536529651309384e-05,5.2640800205718075e-06
20,0.0009,2.7785681166488238e-06,4.634951626674176e-05,4.939089524245463e-06
21,0.00101,2.8565918166530085e-06,4.4839894159479e-05,5.2710246469266175e-06
22,0.00113,3.130497074856e-06,4.558460813384616e-05,6.777078015214334e-06
23,0.00126,3.442460047177994e-06,4.469846622608809e-05,8.279951770603999e-06
24,0.0014,3.954477046886095e-06,4.327779827668266e-05,9.074063537913923e-06
25,0.00157,4.19536916967566e-06,4.1396490773573075e-05,9.798027343574362e-06
26,0.00175,4.186854361624698e-06,3.96584528274644e-05,1.0264797673548913e-05
27,0.00195,4.127125193914244e-06,3.774172482639178e-05,1.086549650714567e-05
28,0.00218,3.7462047063524192e-06,3.509247159628695e-05,1.134931959366235e-05
29,0.00243,3.5530024889616575e-06,3.3007991064216124e-05,1.1642008953966674e-05
30,0.00272,3.4948796896664583e-06,3.0039780747936732e-05,1.1868832934077636e-05
31,0.00303,3.1435858182034483e-06,2.6755584715551965e-05,1.184791227529853e-05
32,0.00339,3.0259679091464608e-06,2.190309560276169e-05,1.1208454682279905e-05
33,0.00378,3.381250352524626e-06,1.7620630772553863e-05,1.0601128627188167e-05
34,0.00422,2.562630368768434e-06,1.3352095704468585e-05,1.0057475034046362e-05
35,0.00471,1.418143822041584e-06,1.0182922752890852e-05,9.575914390075453e-06
36,0.00526,9.683900767944605e-07,7.494208991490625e-06,9.481468446404976e-06
37,0.00587,1.262358096448115e-06,5.909876849639641e-06,9.257638772192574e-06
38,0.00655,1.4987168598497678e-06,4.736193787818131e-06,8.853308153260595e-06
39,0.00732,1.724140412500375e-06,3.430223867835246e-06,8.866750217237325e-06
40,0.00817,1.788739434085627e-06,2.715563230118441e-06,8.573799877237869e-06
41,0.00912,1.6726065089014497e-06,1.7457252847542874e-06,7.638321782143756e-06
42,0.01018,1.370264776331095e-06,1.1056425207949484e-06,6.562442931065114e-06
43,0.01137,3.3189898538195893e-06,9.72555809735767e-07,4.823555441412024e-06
44,0.01269,3.324258167852788e-06,6.91295644336466e-07,3.82694794238274e-06
45,0.01416,3.1442138368745104e-06,4.2623468589698944e-07,2.7479463136151765e-06
46,0.01581,3.2119955595780187e-06,1.762497907812051e-07,1.8887620829026573e-06
47,0.01765,3.1803367375405917e-06,3.506537311780419e-08,1.2063750740268357e-06
48,0.01971,3.329645907487888e-06,2.3015310561610082e-08,8.610814451837005e-07
49,0.022,1.4301620959196704e-06,0.0,4.653473418743043e-08
50,0.0244,1.6435686978442596e-06,2.6018938216809386e-09,1.775557506801154e-08
51,0.02705,1.8057792279060096e-06,3.426571019035153e-09,3.875930343860282e-10
52,0.03,1.9271389087572744e-06,0.0,1.071986335669948e-08
