,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,8.751308035251327e-07,4.78012196488101e-05,4.174852440362597e-06
1,0.00011,8.971241793353004e-07,4.940834129094168e-05,5.146707881709863e-06
2,0.00012,1.0070886879790206e-06,5.0517443660561323e-05,5.588126106363127e-06
3,0.00014,1.2707532169639371e-06,5.136852694185075e-05,6.132754234671958e-06
4,0.00016,1.200376834155016e-06,5.2327551042733445e-05,6.397503476725676e-06
5,0.00017,9.323671974863695e-07,5.275574178173313e-05,6.167174103855762e-06
6,0.00019,1.088866658136662e-06,5.424614941077332e-05,5.832243420199885e-06
7,0.00022,1.7815510200078118e-06,5.391044811807805e-05,5.660389892101627e-06
8,0.00024,2.1618644846718944e-06,5.415625408704111e-05,5.344695080523143e-06
9,0.00027,2.87946943504832e-06,5.460506365382755e-05,5.668136972599131e-06
10,0.0003,3.0494592008932733e-06,5.4812520344133554e-05,5.761744934981373e-06
11,0.00034,3.6507031130717367e-06,5.5380070400231605e-05,6.264411812905727e-06
12,0.00037,3.882498166951676e-06,5.557263779532192e-05,6.479204340767069e-06
13,0.00042,3.937670108594825e-06,5.566516368024497e-05,6.902335245096902e-06
14,0.00047,4.168055767570378e-06,5.545515677666686e-05,7.2266910770709444e-06
15,0.00052,4.358075439510664e-06,5.48896362074938e-05,7.729567172218177e-06
16,0.00058,4.348698553332667e-06,5.385310211535973e-05,8.070314534535913e-06
17,0.00065,4.4160278383663385e-06,5.333870695834684e-05,8.899268017288766e-06
18,0.00073,4.149526429655664e-06,5.240735101739662e-05,9.172428848057344e-06
19,0.00081,4.112219025105217e-06,5.122897908443709e-05,9.233854827952699e-06
20,0.0009,4.0768251848279675e-06,5.002108192522318e-05,9.479010099195979e-06
21,0.00101,4.222209972877453e-06,4.87279579031029e-05,9.63950588530702e-06
22,0.00113,4.704537984503436e-06,4.929955769982897e-05,1.2458892278555048e-05
23,0.00126,5.4282471820378965e-06,4.89430504998741e-05,1.5232991222313013e-05
24,0.0014,5.859107911528133e-06,4.795419267517065e-05,1.7155542848909932e-05
25,0.00157,6.132520413418638e-06,4.641794973960952e-05,1.898564674150374e-05
26,0.00175,6.40279622725442e-06,4.503613326293443e-05,2.0119645756772614e-05
27,0.00195,6.318607049570287e-06,4.356584494847799e-05,2.129617711257441e-05
28,0.00218,6.028535096174217e-06,4.187082475735255e-05,2.229583480057921e-05
29,0.00243,5.5303405663114136e-06,4.006978410092297e-05,2.330933030576766e-05
30,0.00272,5.18671015114754e-06,3.798711562946425e-05,2.3914548381276612e-05
31,0.00303,4.951605053576444e-06,3.474923396730658e-05,2.424554263705606e-05
32,0.00339,4.648556441630244e-06,2.892205209786161e-05,2.34108070014337e-05
33,0.00378,5.355421363165458e-06,2.3377804297688045e-05,2.309215780734126e-05
34,0.00422,3.829341734710891e-06,1.8487863173434785e-05,2.218274507480273e-05
35,0.00471,2.0968904559572798e-06,1.4534089154864904e-05,2.2338370362769694e-05
36,0.00526,1.5023459252414438e-06,1.0923451629465447e-05,2.1714883960985727e-05
37,0.00587,1.7396949462343284e-06,8.942091782545331e-06,2.147996937157599e-05
38,0.00655,2.146372779297755e-06,6.974757667105374e-06,2.0780185024572572e-05
39,0.00732,2.6056474305032858e-06,4.920505148024107e-06,2.0401467563342488e-05
40,0.00817,2.8400853853615437e-06,3.364355840930736e-06,2.0253708776834967e-05
41,0.00912,2.666053423628842e-06,2.308802398855027e-06,1.868677764157244e-05
42,0.01018,2.2588007265248696e-06,1.10428695892887e-06,1.7005293062106725e-05
43,0.01137,6.659172255525861e-06,1.790657313857994e-06,1.728752117564387e-05
44,0.01269,6.822776282049618e-06,1.3363374188261684e-06,1.4552866071464405e-05
45,0.01416,6.801296103048828e-06,8.956883247476677e-07,1.2114669881294154e-05
46,0.01581,6.790417819711242e-06,5.675847012777675e-07,9.472799528072307e-06
47,0.01765,6.782254741261911e-06,3.8849898219860734e-07,7.411317449375893e-06
48,0.01971,7.022435913016903e-06,1.7968747832378247e-07,5.652386874451721e-06
49,0.022,2.626627025370615e-06,6.462142087257515e-08,2.64106551968889e-07
50,0.0244,2.9118858085587243e-06,3.9340704159452926e-08,1.4972297064067216e-07
51,0.02705,3.136924572503027e-06,3.305846737279669e-08,1.4624898253813026e-07
52,0.03,3.4330340679950143e-06,3.576996258048542e-09,5.6756937750762153e-08
