,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,3.1569677028569237e-06,4.9211048808138866e-05,8.710602893612222e-06
1,0.00011,3.4496320751465515e-06,5.118040487262571e-05,1.0525134085807727e-05
2,0.00012,3.7638751155645035e-06,5.156909433673856e-05,1.1583292002874585e-05
3,0.00014,4.185738569007255e-06,5.373470732389779e-05,1.285501574401642e-05
4,0.00016,4.472933244778189e-06,5.51249190107693e-05,1.3154866335799306e-05
5,0.00017,4.641516001045351e-06,5.543107374344771e-05,1.342211890496906e-05
6,0.00019,4.644172245746539e-06,5.762936066857225e-05,1.2661136749890225e-05
7,0.00022,5.46036731047358e-06,5.7534613299510435e-05,1.1669259419430454e-05
8,0.00024,6.0879039047073635e-06,5.790692146456815e-05,1.1531591748727935e-05
9,0.00027,6.6619822809936145e-06,5.7756163724871314e-05,1.0817153997770289e-05
10,0.0003,6.952389639263788e-06,5.776992479534737e-05,1.0544585222846526e-05
11,0.00034,7.0678475394625385e-06,5.850944126113104e-05,1.0503819091147236e-05
12,0.00037,7.032878874395694e-06,5.87300066587703e-05,1.0351005736478266e-05
13,0.00042,6.913026682377803e-06,5.860573562464972e-05,1.0424888207266341e-05
14,0.00047,6.585708024485955e-06,5.8282552001771815e-05,1.0615957807091102e-05
15,0.00052,6.61136056365308e-06,5.754620907799209e-05,1.118682704729934e-05
16,0.00058,6.383761303685043e-06,5.626919799618392e-05,1.1896691351500753e-05
17,0.00065,6.561500568257615e-06,5.542044211522049e-05,1.2194561730046535e-05
18,0.00073,6.285107190765298e-06,5.438150315176896e-05,1.2513752396294596e-05
19,0.00081,6.427580017894077e-06,5.332365059289608e-05,1.271625145876952e-05
20,0.0009,7.034684408510422e-06,5.19121828293289e-05,1.3007774229118833e-05
21,0.00101,6.9900407030866455e-06,5.056663703852647e-05,1.3380053802976525e-05
22,0.00113,5.674534022974027e-06,5.155366117964071e-05,1.6692490737609154e-05
23,0.00126,5.766640608951281e-06,5.088385177626034e-05,1.9750830772513705e-05
24,0.0014,6.21256878857153e-06,4.914485904375023e-05,2.198722864886007e-05
25,0.00157,6.568218854157313e-06,4.7365346875341714e-05,2.4072446150572337e-05
26,0.00175,6.4671731836002485e-06,4.698059368865872e-05,2.556845804057571e-05
27,0.00195,6.589237581301239e-06,4.581291217356717e-05,2.6929400849534354e-05
28,0.00218,5.9401410304355935e-06,4.526193554043928e-05,2.8231511766985524e-05
29,0.00243,5.7070185050960834e-06,4.41843980675944e-05,2.969473827843836e-05
30,0.00272,5.464784636291207e-06,4.281177942320956e-05,3.1086832640368044e-05
31,0.00303,5.0783407098564735e-06,3.975843527321988e-05,3.22285748728312e-05
32,0.00339,4.822455642047747e-06,3.4587288108770266e-05,3.219298887628782e-05
33,0.00378,5.912831583228222e-06,2.890621156237242e-05,3.223675422565823e-05
34,0.00422,5.367332932479692e-06,2.3373133156933106e-05,3.231445331258327e-05
35,0.00471,4.825046091979797e-06,1.767766040461107e-05,3.209025440201333e-05
36,0.00526,4.1968726533492505e-06,1.27703753422932e-05,3.140455548609234e-05
37,0.00587,4.407790468333056e-06,1.069418145018993e-05,3.2387050186158384e-05
38,0.00655,4.273457306999093e-06,8.690215551253682e-06,3.22245778383917e-05
39,0.00732,4.336801281833094e-06,5.718667962147498e-06,3.287864364253469e-05
40,0.00817,4.4429094123814495e-06,3.817332700174607e-06,3.231029007868746e-05
41,0.00912,3.6510586462550782e-06,2.2977156983496412e-06,3.200990600721213e-05
42,0.01018,3.58330346486906e-06,8.941303112804356e-07,2.951984223889615e-05
43,0.01137,2.324790476574654e-05,2.514765655859904e-06,3.882272982652885e-05
44,0.01269,2.3400882217523745e-05,1.4848535562693159e-06,3.502484422503719e-05
45,0.01416,2.371760504556925e-05,1.1690876370021094e-06,3.1458248992289036e-05
46,0.01581,2.4078766636559477e-05,1.3076439575878676e-06,2.781853371061421e-05
47,0.01765,2.3873972015095488e-05,1.0262793221633323e-06,2.398186719080413e-05
48,0.01971,2.3889257673724044e-05,9.86135110730992e-07,2.042415275962207e-05
49,0.022,4.218184501858593e-06,5.30775021184776e-07,3.754196957514049e-07
50,0.0244,4.450276277759391e-06,4.714190025617379e-07,2.428478692751549e-07
51,0.02705,4.8817607364376715e-06,2.26225006756502e-07,2.364096803279989e-07
52,0.03,5.445436459701742e-06,1.7935418186368112e-08,8.060609067968737e-08
