,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.541492122560882e-07,4.723468797780642e-05,2.041678656897613e-06
1,0.00011,5.800277850739688e-07,4.944174965951842e-05,2.622350262551764e-06
2,0.00012,6.121609735464269e-07,5.03997720569269e-05,2.8601479771339483e-06
3,0.00014,7.143527900477796e-07,5.157989075894918e-05,3.1492777928911638e-06
4,0.00016,6.58991186129833e-07,5.285811480141042e-05,3.035014138190116e-06
5,0.00017,4.808045769194159e-07,5.300024626526358e-05,3.0364517625897575e-06
6,0.00019,6.034751074105261e-07,5.448809871153899e-05,2.720417291100386e-06
7,0.00022,1.0894422851312885e-06,5.482085337071e-05,3.130186356377887e-06
8,0.00024,1.4382983956844397e-06,5.5110785231289624e-05,3.4636406833369455e-06
9,0.00027,1.8630123480699062e-06,5.5613474847404e-05,4.0179172961085364e-06
10,0.0003,2.57237496536701e-06,5.575107832710185e-05,4.310419058370064e-06
11,0.00034,2.642531759579787e-06,5.666962450659665e-05,4.899333591705491e-06
12,0.00037,2.859343409996131e-06,5.6903586366877085e-05,5.315717551189824e-06
13,0.00042,2.750002469814768e-06,5.7198274789584116e-05,5.8330986116290035e-06
14,0.00047,3.0693983648540872e-06,5.6365881913603086e-05,6.380630244887911e-06
15,0.00052,2.778617564264633e-06,5.562410055976237e-05,7.0685085176149676e-06
16,0.00058,2.973306368557935e-06,5.4753095225733836e-05,7.892138212915893e-06
17,0.00065,2.9632422497442456e-06,5.382195617352985e-05,8.184033764365629e-06
18,0.00073,2.902146200909336e-06,5.287196572242219e-05,8.548872983596633e-06
19,0.00081,2.9401932104954088e-06,5.157705135867199e-05,9.02696556490652e-06
20,0.0009,2.7043714606573413e-06,4.997116425065196e-05,8.869644915942468e-06
21,0.00101,2.704832526441544e-06,4.857245906001024e-05,9.404550164269397e-06
22,0.00113,3.2084076785568816e-06,4.94925176860061e-05,1.2607434845306435e-05
23,0.00126,3.500805787236686e-06,4.9415499378645315e-05,1.6175800073181484e-05
24,0.0014,3.9624105074458575e-06,4.803185797960279e-05,1.889386601223986e-05
25,0.00157,4.287416825666485e-06,4.677037572204389e-05,2.10912593269124e-05
26,0.00175,4.139284385986728e-06,4.576085990173594e-05,2.2576347000612965e-05
27,0.00195,4.005364829670599e-06,4.489261883466723e-05,2.41118162719292e-05
28,0.00218,3.814980790261362e-06,4.411864416679743e-05,2.528549890667465e-05
29,0.00243,3.6668365079682037e-06,4.334705158567287e-05,2.626421144505796e-05
30,0.00272,3.394081305398596e-06,4.2305623767565305e-05,2.7424560481943548e-05
31,0.00303,3.3362918185992816e-06,3.977004848356417e-05,2.749674359784829e-05
32,0.00339,3.025708883979809e-06,3.441286119075048e-05,2.699527066069389e-05
33,0.00378,3.3750041752242087e-06,2.8425415320798585e-05,2.645030957133722e-05
34,0.00422,2.6287998288395667e-06,2.2131113804546924e-05,2.636094496824129e-05
35,0.00471,1.4179368795531515e-06,1.6075896675754078e-05,2.5593372839932424e-05
36,0.00526,1.056595954543115e-06,1.1477308374721565e-05,2.425164596599688e-05
37,0.00587,1.264340743493389e-06,9.448903008504284e-06,2.5598818826026434e-05
38,0.00655,1.4665976511696873e-06,7.683980875215134e-06,2.57905129440662e-05
39,0.00732,1.858675249020164e-06,5.214135285031092e-06,2.610700888396913e-05
40,0.00817,1.850210735579086e-06,3.439055357604506e-06,2.6259345535243945e-05
41,0.00912,1.6740257130884853e-06,2.033906332868269e-06,2.591131409616885e-05
42,0.01018,1.3289531267109634e-06,8.585090360597905e-07,2.403606491003765e-05
43,0.01137,3.513862680408713e-06,1.884571654982129e-06,3.1634514068048874e-05
44,0.01269,3.3891998422566588e-06,1.4492217442885159e-06,2.893083224433817e-05
45,0.01416,3.225521078152415e-06,1.0533303057547905e-06,2.5992484434035683e-05
46,0.01581,3.1696825978873506e-06,1.043433176222609e-06,2.2995704419737343e-05
47,0.01765,3.3924522850555393e-06,8.49194299727936e-07,2.0075135317648888e-05
48,0.01971,3.4620521885658926e-06,7.368030532861192e-07,1.716637489639754e-05
49,0.022,1.4920423752424947e-06,6.460515668156158e-07,6.783276757192436e-07
50,0.0244,1.6461630865039191e-06,5.137820921007479e-07,5.636425417511484e-07
51,0.02705,1.7981135108381337e-06,3.5314988876382506e-07,3.37290794323346e-07
52,0.03,1.9700750168597562e-06,4.001754865731399e-08,2.1255972179813933e-07
