,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,5.224111187339933e-07,4.5339159853054636e-05,1.7137752108653419e-06
1,0.00011,5.120125036948285e-07,4.637164750603057e-05,1.989714826859924e-06
2,0.00012,6.562797865573097e-07,4.718435914036766e-05,2.2086132086216853e-06
3,0.00014,6.443497364800557e-07,4.7516378175671284e-05,2.2530941531409975e-06
4,0.00016,6.895968091863884e-07,4.73161937175151e-05,2.169813250259074e-06
5,0.00017,5.76192595890911e-07,4.713113678686173e-05,2.285694852767313e-06
6,0.00019,6.508520031357092e-07,4.693782980954947e-05,2.1068707355611288e-06
7,0.00022,1.1896960441049934e-06,4.7031999234379746e-05,2.1778008735907418e-06
8,0.00024,1.430281098897532e-06,4.796782926613376e-05,2.297875656016449e-06
9,0.00027,1.978552196918331e-06,4.858971764995827e-05,2.622804495470223e-06
10,0.0003,2.4492462703167663e-06,4.895756013843347e-05,2.792904002341097e-06
11,0.00034,2.544583671915751e-06,4.987581781302826e-05,3.344843141691428e-06
12,0.00037,2.7087636790920283e-06,5.0360367770424485e-05,3.698128881851745e-06
13,0.00042,2.95758189235114e-06,5.120898993006014e-05,4.01138076993474e-06
14,0.00047,3.0751268017061283e-06,5.116906899650381e-05,4.169467837627146e-06
15,0.00052,2.8075262781676457e-06,5.069669215895146e-05,4.5261174692242176e-06
16,0.00058,3.078030538535584e-06,5.0052525673661767e-05,4.8612529000262675e-06
17,0.00065,2.8556143960973537e-06,4.929135273881862e-05,4.958998570652532e-06
18,0.00073,2.9101615580697576e-06,4.825377552621978e-05,4.981835945166616e-06
19,0.00081,2.793892958181944e-06,4.702630459967405e-05,5.082381061720047e-06
20,0.0009,2.840945212939571e-06,4.5782436412356424e-05,4.779503282890362e-06
21,0.00101,2.821378291407187e-06,4.4772781938510744e-05,4.942018821751833e-06
22,0.00113,3.2487484879356687e-06,4.528924340373661e-05,6.6240117986078455e-06
23,0.00126,3.372381296822836e-06,4.557699709704786e-05,7.5025411027755704e-06
24,0.0014,3.861898076629701e-06,4.438656598857894e-05,8.51465045914919e-06
25,0.00157,4.107355760372023e-06,4.333759655615173e-05,8.962255294501903e-06
26,0.00175,3.9896220428989e-06,4.220668579075711e-05,9.444329475659683e-06
27,0.00195,4.014092898231847e-06,4.10500956518702e-05,9.787203120244402e-06
28,0.00218,3.795743753089873e-06,3.9409431095648215e-05,1.0113424233809143e-05
29,0.00243,3.5071032566522444e-06,3.815289743700507e-05,1.0231354755922876e-05
30,0.00272,3.3067700930931182e-06,3.627609807987477e-05,1.0418880670830941e-05
31,0.00303,3.2639134537092027e-06,3.278838635484779e-05,1.0591990920626758e-05
32,0.00339,3.001374149453741e-06,2.8212890359098854e-05,9.727554916961278e-06
33,0.00378,3.405306382175555e-06,2.3566129972663296e-05,9.393952296809727e-06
34,0.00422,2.4995628825237992e-06,1.9268446021127068e-05,9.07529258670846e-06
35,0.00471,1.2420601839248848e-06,1.6232632996838956e-05,9.025089624366445e-06
36,0.00526,8.323276727693127e-07,1.3575824163366474e-05,8.861661574865068e-06
37,0.00587,1.1032520074325458e-06,1.1898304654003038e-05,8.999579292340125e-06
38,0.00655,1.393669671821154e-06,1.0380072222292044e-05,8.679735533010122e-06
39,0.00732,1.6761570400145217e-06,8.906846844746653e-06,8.696860037410037e-06
40,0.00817,1.798485776321448e-06,7.841113231306543e-06,8.180310913066209e-06
41,0.00912,1.6673735937551624e-06,6.40275661784065e-06,7.906586471592405e-06
42,0.01018,1.2971266650917236e-06,4.930395097469996e-06,7.334333624974202e-06
43,0.01137,2.9465345376752707e-06,5.158123432623776e-06,6.172288727375022e-06
44,0.01269,2.9101512917036977e-06,3.998336369536971e-06,5.8106069093476734e-06
45,0.01416,2.7836537661387816e-06,3.2129960371982293e-06,5.266261235382992e-06
46,0.01581,2.781020978036669e-06,2.535354931986129e-06,4.920010033786258e-06
47,0.01765,2.856240318084292e-06,2.2270611004243967e-06,4.3945104601749e-06
48,0.01971,2.9133161765194e-06,1.813393129226673e-06,4.06578959732556e-06
49,0.022,1.5932898340522878e-06,1.273321169479921e-06,8.571764636529028e-08
50,0.0244,1.7798384420365662e-06,1.090733800997526e-06,1.3238665362162093e-07
51,0.02705,2.0956665937435737e-06,8.856244685530262e-07,1.1442306881427873e-07
52,0.03,2.1550848719583528e-06,1.0651312072310746e-06,7.853338776334904e-08
