,Zi,X(Zi)_DNS,X(Zi)_BHBH,X(Zi)_BHNS
0,0.0001,4.878713313099889e-07,4.732285141742176e-05,1.6362074267922906e-06
1,0.00011,5.579057128122728e-07,4.8362140297726035e-05,2.0167146548512216e-06
2,0.00012,6.210922921489729e-07,4.901489541736372e-05,2.18937220545252e-06
3,0.00014,6.578697999668795e-07,4.980503417336455e-05,2.395915161419749e-06
4,0.00016,6.792071776303362e-07,4.985814334609165e-05,2.169644690958359e-06
5,0.00017,4.52869744404305e-07,4.919227765945568e-05,2.2584963839471245e-06
6,0.00019,7.770899294619128e-07,4.881460847735065e-05,2.2637516866360804e-06
7,0.00022,1.0758717915985944e-06,4.7450975271094957e-05,2.48184936165621e-06
8,0.00024,1.5845352981944588e-06,4.7862692379470947e-05,2.5513221616233267e-06
9,0.00027,1.9612836540202263e-06,4.787061354073965e-05,2.749904308713331e-06
10,0.0003,2.361087760578228e-06,4.7995213757836244e-05,3.17045564133987e-06
11,0.00034,2.7913678969010424e-06,4.8223029535405076e-05,3.4346618685575964e-06
12,0.00037,3.0292240897693386e-06,4.814033106384797e-05,3.8993452222775295e-06
13,0.00042,3.066762693980915e-06,4.817087171851392e-05,4.282911819990405e-06
14,0.00047,3.035191212972205e-06,4.762543331786946e-05,4.706116512957102e-06
15,0.00052,2.910367479156519e-06,4.6621199316384584e-05,5.178349836731697e-06
16,0.00058,2.914420089035552e-06,4.570485551546935e-05,5.6904935536513825e-06
17,0.00065,3.1382025882401838e-06,4.386442759547705e-05,6.215598805246577e-06
18,0.00073,3.0211137535192418e-06,4.204728613268608e-05,6.529311566384214e-06
19,0.00081,3.125223859956587e-06,4.045642226520464e-05,6.484797576345251e-06
20,0.0009,3.0257684677709994e-06,3.7906604274641785e-05,6.870146060386043e-06
21,0.00101,3.2419748361782105e-06,3.514785353859286e-05,7.235394555257993e-06
22,0.00113,3.3190331340600415e-06,3.3513693482091965e-05,9.310494009849077e-06
23,0.00126,3.7467088037198212e-06,3.0084785560132482e-05,1.1097016681697342e-05
24,0.0014,4.257579507546579e-06,2.680894814260001e-05,1.2014816550330836e-05
25,0.00157,4.580399679190055e-06,2.309322485060091e-05,1.2702452114912684e-05
26,0.00175,4.68544641187257e-06,1.9478730035186097e-05,1.2914813416926887e-05
27,0.00195,4.506009685097973e-06,1.5453341273313102e-05,1.3055477404175235e-05
28,0.00218,4.364795590879521e-06,1.1546649155287873e-05,1.2766611713128467e-05
29,0.00243,4.186322186433286e-06,8.329426035511937e-06,1.1320374710626534e-05
30,0.00272,3.854275178886033e-06,5.565211547728847e-06,9.474074848971382e-06
31,0.00303,3.7180131627221184e-06,3.308576734986605e-06,7.535317109566662e-06
32,0.00339,3.4965835361810945e-06,1.2972569626972818e-06,5.158329260226839e-06
33,0.00378,3.7688598265084097e-06,2.967264972563895e-07,3.4835310613003466e-06
34,0.00422,2.950304350982333e-06,6.891359347525299e-08,2.469211520233704e-06
35,0.00471,1.9227125053088275e-06,5.742247766194268e-08,1.8008558974574291e-06
36,0.00526,1.6082462275350622e-06,1.1493105726733249e-07,1.3757066867578735e-06
37,0.00587,1.668936721683611e-06,2.1228440553010465e-08,8.728891841475853e-07
38,0.00655,1.8305317531981491e-06,8.168885766852638e-09,6.025674855945359e-07
39,0.00732,1.845846633806917e-06,4.29288018913244e-09,4.730316137032072e-07
40,0.00817,1.762627957883358e-06,1.2305493346569265e-09,1.0565124128238797e-07
41,0.00912,1.4021030916969611e-06,0.0,1.4711611269339212e-08
42,0.01018,1.1431628250511998e-06,0.0,2.6512263234325703e-09
43,0.01137,2.8196933816208323e-06,0.0,1.5942517433690505e-08
44,0.01269,2.2306341508297127e-06,0.0,1.126488910164847e-08
45,0.01416,1.8270834535721401e-06,0.0,2.6601947127445503e-09
46,0.01581,1.5519895763790174e-06,0.0,1.1006977820776715e-09
47,0.01765,1.2069204436842772e-06,0.0,0.0
48,0.01971,8.061057556329026e-07,0.0,0.0
49,0.022,5.215937647404437e-07,0.0,0.0
50,0.0244,6.460140590701265e-07,0.0,0.0
51,0.02705,8.995972976129917e-07,0.0,0.0
52,0.03,1.1803844499845769e-06,0.0,0.0
