xyz,A intrinsic (z=0) [Gpc^{-3} yr^{-1}],A observed (design LVK) [yr^{-1}],B intrinsic (z=0) [Gpc^{-3} yr^{-1}],B observed (design LVK) [yr^{-1}],C intrinsic (z=0) [Gpc^{-3} yr^{-1}],C observed (design LVK) [yr^{-1}],D intrinsic (z=0) [Gpc^{-3} yr^{-1}],D observed (design LVK) [yr^{-1}],E intrinsic (z=0) [Gpc^{-3} yr^{-1}],E observed (design LVK) [yr^{-1}],F intrinsic (z=0) [Gpc^{-3} yr^{-1}],F observed (design LVK) [yr^{-1}],G intrinsic (z=0) [Gpc^{-3} yr^{-1}],G observed (design LVK) [yr^{-1}],H intrinsic (z=0) [Gpc^{-3} yr^{-1}],H observed (design LVK) [yr^{-1}],I intrinsic (z=0) [Gpc^{-3} yr^{-1}],I observed (design LVK) [yr^{-1}],J intrinsic (z=0) [Gpc^{-3} yr^{-1}],J observed (design LVK) [yr^{-1}],K intrinsic (z=0) [Gpc^{-3} yr^{-1}],K observed (design LVK) [yr^{-1}],L intrinsic (z=0) [Gpc^{-3} yr^{-1}],L observed (design LVK) [yr^{-1}],M intrinsic (z=0) [Gpc^{-3} yr^{-1}],M observed (design LVK) [yr^{-1}],N intrinsic (z=0) [Gpc^{-3} yr^{-1}],N observed (design LVK) [yr^{-1}],O intrinsic (z=0) [Gpc^{-3} yr^{-1}],O observed (design LVK) [yr^{-1}],P intrinsic (z=0) [Gpc^{-3} yr^{-1}],P observed (design LVK) [yr^{-1}],Q intrinsic (z=0) [Gpc^{-3} yr^{-1}],Q observed (design LVK) [yr^{-1}],R intrinsic (z=0) [Gpc^{-3} yr^{-1}],R observed (design LVK) [yr^{-1}],S intrinsic (z=0) [Gpc^{-3} yr^{-1}],S observed (design LVK) [yr^{-1}],T intrinsic (z=0) [Gpc^{-3} yr^{-1}],T observed (design LVK) [yr^{-1}],U intrinsic (z=0) [Gpc^{-3} yr^{-1}],U observed (design LVK) [yr^{-1}],V intrinsic (z=0) [Gpc^{-3} yr^{-1}],V observed (design LVK) [yr^{-1}],W intrinsic (z=0) [Gpc^{-3} yr^{-1}],W observed (design LVK) [yr^{-1}],X intrinsic (z=0) [Gpc^{-3} yr^{-1}],X observed (design LVK) [yr^{-1}],Y intrinsic (z=0) [Gpc^{-3} yr^{-1}],Y observed (design LVK) [yr^{-1}],Z intrinsic (z=0) [Gpc^{-3} yr^{-1}],Z observed (design LVK) [yr^{-1}]
.0.0.0,16.015303071664437,219.00475288237888,9.82207842117108,83.52070637707754,15.58063940881096,130.31387091253848,22.57366858212979,209.0556445824402,15.73186300267255,222.2812988039148,46.6593541117136,391.28437429288186,15.220908713340842,205.2926450609696,15.06618900847356,203.50338730360912,16.801555305877454,223.9002431714104,15.351768536684474,202.67269012713885,46.50562629844183,383.1814249909462,19.48644683255038,224.6562276801312,15.93337829884432,221.95686539890983,15.91784093952415,220.1187548177228,16.343977348544403,237.57258856663685,16.486525982314443,224.0066914862582,20.956476527810693,228.30186264964544,22.5842206506092,228.65537168883685,61.44107506243526,583.3574000717346,2.159708671313339,41.64017273191617,,,,,,,,,,,,
.1.1.1,170.64784356247256,2659.101331982112,101.71945202768096,1046.4301626660288,148.54395437436128,1501.9776329301326,213.0491065981368,2234.474150166698,172.2397016038817,2688.86856344328,430.5841294532149,4046.4483622412167,152.83433029508467,2341.917985947309,158.61869716721884,2544.5898504900456,171.83359052017727,2618.4510560802414,155.89108274522556,2334.49102109318,425.7053510863439,4002.6907389914654,185.48610640754697,2670.206843682865,174.53267633764585,2676.911588684556,170.82983400980868,2668.2335845968746,175.0347111918119,3016.269264271853,180.65416825963143,2710.53903163173,199.7800821069121,2742.752956420137,207.888123287844,2720.270623397952,290.2922111491821,3931.557724871265,35.22072416382116,734.123267157653,,,,,,,,,,,,
.2.1.1,231.9916287905864,4107.191230965553,132.36917275418608,1496.0440966633014,195.0626780480787,2142.0412455747023,291.78169219708485,3468.298113101298,233.73246888064625,4145.795645913875,483.48600995324784,5355.061335489113,207.83599938437027,3657.195807181178,216.3026636498689,3876.148686939785,238.81437714735944,4147.609029477104,221.6041932720684,3758.9617365973936,477.7727285900701,5300.464518318545,246.60931133805445,4114.033441792569,235.6800811930471,4122.962973369868,232.28140733684305,4120.475472579078,243.57367664366845,5086.3557025949785,242.20268824915263,4173.333868779887,262.4430719921252,4209.772881660299,270.0855819476765,4169.840241320441,351.58241670571,5374.031772619748,69.46650460365845,1583.740404323913,,,,,,,,,,,,
.3.1.1,124.3075904815176,1955.135456853751,74.34349948868278,768.1000502213183,108.25936469359796,1101.2378672200523,155.66332534289413,1643.0590790187969,125.4802228836382,1977.3147466679416,299.1648645781046,2877.503377171128,111.45192490783224,1728.5377450098847,115.5253529930598,1865.574835937918,125.18849292154266,1927.5506158779167,113.8095387950676,1722.8841695674196,295.610482690556,2845.773900518919,134.55362980832317,1962.6539989166847,127.16603959131668,1968.4573237461184,124.48355326305352,1961.8785639063003,127.41477937088916,2208.965504185572,131.4003493806647,1993.3563842552217,144.8675935708909,2016.0885338573453,150.51521045654988,1999.571337679823,207.5376322550191,2850.96671268245,25.66357074323242,531.2839955430082,,,,,,,,,,,,
.1.1.2,20.07436266115692,290.08650616632946,12.207001052208382,111.7604804974512,18.84752017273693,168.7646426188195,27.17795728835761,264.40176761159125,20.03210891321837,293.9949524163479,54.63367515662406,483.1594693021487,18.616429940142623,264.5217846248331,18.819156784525145,272.51537427608224,20.564674107215883,292.6005811674996,18.937911507241097,263.33372920953724,54.09619438991541,474.90395837929685,25.697433574006563,297.1532891990957,20.33131795736569,293.1131255703372,20.021380177990288,291.3225958781857,20.5757467111947,323.8459109332399,20.95537261973389,296.0813459400238,24.982462023830696,300.31564578593867,26.620370438648862,299.60098201999466,65.7968180302041,663.5919142586702,3.208383543766835,65.02491808570628,,,,,,,,,,,,
.2.1.2,52.23058778804074,885.5635134534766,30.36049759886292,316.89792377202497,46.100478644160496,464.51217367364166,69.45098446236254,786.6542544910553,51.88032194602891,896.0356780181646,94.29849112000932,1111.181179457736,48.23670026250805,811.7879447980367,48.72157956649997,827.3449416611132,54.64856314749992,908.646893274476,51.38769336032434,833.2323280404432,93.6886616683667,1092.6076710092418,58.5371238620841,893.7681365076808,52.40125695990625,892.818695071558,52.00096068082947,889.1939286883392,54.849398276347486,1072.3537091543112,53.65241917374868,901.2486602751312,59.989866524051,908.8544987606496,61.89494103412901,903.577806588762,113.56069599185824,1421.4549979363337,13.981950142579421,310.6816218353984,,,,,,,,,,,,
.3.1.2,14.39549938611806,203.41987391895373,8.84082362417624,79.15393358554842,13.692042211981285,120.37800711457548,19.620598227300203,186.9118005934403,14.366822174485447,206.22909241978823,39.13417166138935,341.2372166165156,13.371754011587743,185.8762137633317,13.5243984173569,190.9888196494172,14.715142537844766,204.91193344760143,13.542741104846217,184.33532424494683,38.76516540227013,335.0158373687622,18.317740424393463,208.42375880198605,14.59089578208781,205.6330908809412,14.360933075629989,204.3156853049554,14.705367140916527,223.97425852604977,15.020828773671484,207.70014817713408,17.95305229942256,210.704369808488,19.159133606651693,210.2983686103472,47.9201303302231,479.01732449395854,2.0748354158404774,41.03553702767727,,,,,,,,,,,,
.1.1.3,15.845203695906145,171.95341242108304,9.79619266721421,69.30851024760301,16.47371547207362,116.32570224542056,23.01865921960532,173.63589851784886,15.87550306958756,174.57872188120857,80.54602909397907,549.8996916197448,15.050153705615198,157.04522963656282,15.028812279423494,160.99670901331672,16.24941455321097,175.63973314363932,14.5925221511419,149.41489848349784,79.47756140242022,540.9972357178624,21.217201631140195,179.28358648283708,16.17401586177669,174.24071594255304,15.889742526499507,172.64484843722468,15.927169532442138,175.73448527873254,16.84522835731297,176.06763313519716,23.12662935259053,181.54524166781155,25.764187843889427,183.03825787834788,85.30451234212588,723.6494599638719,0.5714958726974029,8.709193965047138,,,,,,,,,,,,
.2.1.3,27.99882976536856,311.214522123694,18.442789307036083,128.2708075434071,30.02439969836135,217.0483503364825,41.38760166942803,323.0279949429401,27.91762860868271,316.14890144777183,103.6158798500102,727.7806527068343,26.86623569265213,287.75511595496425,26.96226282221189,289.3563106929617,29.617962096359683,313.7942292174915,26.27750144745376,278.1089744246135,102.98253148959093,711.9881654653458,34.81676441499985,320.930660379465,28.690430742771028,315.91177840855687,28.069740408027783,313.40204112639367,28.148246476044186,318.15737460143924,29.39212066312504,318.1636178520065,38.55284263883176,325.10200643697686,41.83355654445161,327.066684167894,122.58416202602838,1107.3659603351596,1.0583088456155285,15.431932580496595,,,,,,,,,,,,
.3.1.3,11.707366677800868,126.8468951605116,7.246835246569319,50.82473012122317,12.228567392281096,85.71609097592433,17.064374151833174,128.35959776574126,11.72936586218668,128.75742089433535,57.59177687285062,394.2270694734819,11.119092677236331,116.34907384233374,11.126591669490312,118.80160491866496,11.976088036160172,130.2634355925687,10.8119746792921,110.96392699106951,56.84211908609872,387.3112780829493,15.512412563543414,132.08959138913988,11.937757025149928,128.5013210438248,11.738863863519365,127.35054091096468,11.76780961311081,129.6492017136528,12.392808600217204,129.82750035915944,16.847128413384794,133.65537799514885,18.7514251571762,134.7059476664534,62.37686675543345,531.5627868901192,0.41929954643179246,6.385179615718225,,,,,,,,,,,,
.1.2.1,229.4698743603532,4383.357260593028,125.965463400158,1680.4635550053697,185.0371036213584,2345.629351553664,275.63811963520976,3536.865102226259,230.7927919809585,4415.565506960376,460.4631620952996,5634.69959839257,202.5302224635183,3745.225710210683,214.03148818244915,4133.873970495946,237.47231297127263,4369.283548541617,219.3529452260443,3893.579265464024,456.5335944400632,5583.395791540614,243.23516538970856,4388.739998199999,232.80844362271503,4386.1669356670245,229.1976108586122,4395.514168175273,243.2964375323612,5863.308214327488,239.5596703365938,4443.504663708183,257.6301312685229,4480.074039372625,264.19268675506913,4433.075189196224,328.3949627743657,5373.620423319067,83.84470673112526,2184.350054634033,,,,,,,,,,,,
.2.2.1,285.9590395890895,6007.116024284338,150.34841663368286,2125.108604951992,228.2700079837313,3019.9931141015404,353.2160579457253,5044.939213625834,286.681620328138,6038.629997566397,506.80871067586094,7112.688808817667,252.5295530939404,5192.802931902324,267.3711698840959,5600.617860089035,302.13096998018017,6105.292897610793,288.1602760211752,5587.222711243418,503.2364870135497,7059.62775169315,298.9018227750458,6002.980388173173,287.6617506269656,5988.607578683774,285.58095657842244,6024.869254218383,311.601491508502,8794.583759100942,294.03438274617145,6064.435842455174,312.41492079281176,6099.921333173896,319.1047488403268,6029.332379450301,381.02970699075104,6949.411530728045,127.91380621277229,3472.9266018247845,,,,,,,,,,,,
.3.2.1,165.9380903432399,3212.4188325833643,90.80784316889472,1218.1002320402563,133.41122355520528,1699.9231129011932,200.1094259209441,2591.576628255492,166.9098596720918,3236.257978781159,320.6496686694883,4042.060672295429,146.63783968631734,2756.688257836497,154.74917124182852,3021.225848826237,172.00637985853302,3212.1541491305024,159.37486086871445,2870.883785425958,317.8573082465992,4004.991480384492,175.31947730811947,3215.594622515964,168.37765161232966,3214.4491050296224,165.77172464912854,3221.274396330034,176.14225523467903,4307.426313033403,172.9255386448204,3256.398433144733,185.4663798075872,3281.715057124484,189.892881612936,3247.217562775883,233.97073590341543,3894.898572059011,61.46647510371566,1605.5736503476555,,,,,,,,,,,,
.1.2.2,60.69475512726592,1153.766223387166,33.61876818935076,417.1890537878777,51.39551931131459,601.9151338569013,77.79034183475167,985.3302801216138,60.97471386404692,1162.8443831195227,116.81832301639469,1465.4456565487442,54.63835687349049,1016.4547087790968,56.795909947966976,1075.5396508094868,63.33750785523436,1172.1351617845955,59.97719633908303,1067.0885410541011,115.4669124720253,1450.778830307397,67.29389022723431,1159.3664004951077,61.34085734919589,1154.883370929174,60.67129847754439,1157.4127769649022,64.57544412768709,1560.564749906035,62.7976770653811,1168.9593085897066,68.90097275089525,1177.9367100265515,71.54554297597683,1167.2263570908278,115.4332253935146,1642.5329043309273,20.721489661491216,541.6266232312157,,,,,,,,,,,,
.2.2.2,107.72091283161984,2297.544270877489,56.46515505855189,761.1435492569589,89.80594739394033,1124.231849282285,141.17020651332192,2057.550891296677,107.71662308026252,2308.517494851064,167.2283429962295,2607.84164175739,96.65026341690834,2037.248316873485,100.977025727283,2121.226342724026,115.5785713510903,2375.166122956369,113.69022281276796,2227.852295523356,165.9291516240159,2587.632183112587,114.45815318475366,2298.6346478483624,107.40576381437543,2288.29106831522,107.49902855870876,2305.6743801057723,118.98448491640164,3475.7782757350283,109.24195946402682,2314.563354564942,116.82264034317932,2326.2373309913924,120.28262171247346,2300.701340912663,170.488005882842,2874.841267474912,48.84913549259298,1324.5676563185423,,,,,,,,,,,,
.3.2.2,45.05621577988104,854.2607665475323,25.06492162106626,308.73572588416766,38.22268648874471,445.0170769309626,57.89846195024531,727.8624172395723,45.27381301833989,861.2838563905543,84.53346575639304,1071.3388895859443,40.62688146873197,754.8030643473182,42.1920987753499,795.4940982311375,46.97680068303677,868.4101582533073,44.46550741554398,790.5779314835224,83.53447264207898,1060.090768928449,49.67315424849525,858.260466931778,45.576716339387126,855.4803351414625,45.04937946266077,856.9538894543371,47.83680974083253,1145.2637519090645,46.60985550217641,865.915165893103,51.072720377810285,872.3935194717783,52.98356145950511,864.6006576264039,84.9349486238612,1213.2133512064413,15.1056268893623,393.1801135586843,,,,,,,,,,,,
.1.2.3,58.01137683772432,950.2621115348628,33.9868423270558,357.7681744280391,52.18845800225933,528.9101969783114,76.32166675618403,832.8763387079753,58.35592680886966,960.1786806594788,145.04745719812283,1449.482241283671,52.90631245026989,847.2157192278478,54.17967488290611,891.6443505091227,59.46752811940007,957.7142908093172,55.46079408914373,862.556003406134,143.08012181767268,1433.8997416823302,65.08272607748209,957.5946947853754,58.9214475949131,955.1632924835312,58.03593385980165,953.533298397502,60.24673484348175,1162.0423640995689,60.76170798826966,966.427626824856,69.55145449494049,977.5477788600213,73.53365887120518,971.270441221966,134.73440806675333,1652.4711147351102,13.131568024687926,315.3032587227011,,,,,,,,,,,,
