xyz,A intrinsic (z=0) [Gpc^{-3} yr^{-1}],A observed (design LVK) [yr^{-1}],B intrinsic (z=0) [Gpc^{-3} yr^{-1}],B observed (design LVK) [yr^{-1}],C intrinsic (z=0) [Gpc^{-3} yr^{-1}],C observed (design LVK) [yr^{-1}],D intrinsic (z=0) [Gpc^{-3} yr^{-1}],D observed (design LVK) [yr^{-1}],E intrinsic (z=0) [Gpc^{-3} yr^{-1}],E observed (design LVK) [yr^{-1}],F intrinsic (z=0) [Gpc^{-3} yr^{-1}],F observed (design LVK) [yr^{-1}],G intrinsic (z=0) [Gpc^{-3} yr^{-1}],G observed (design LVK) [yr^{-1}],H intrinsic (z=0) [Gpc^{-3} yr^{-1}],H observed (design LVK) [yr^{-1}],I intrinsic (z=0) [Gpc^{-3} yr^{-1}],I observed (design LVK) [yr^{-1}],J intrinsic (z=0) [Gpc^{-3} yr^{-1}],J observed (design LVK) [yr^{-1}],K intrinsic (z=0) [Gpc^{-3} yr^{-1}],K observed (design LVK) [yr^{-1}],L intrinsic (z=0) [Gpc^{-3} yr^{-1}],L observed (design LVK) [yr^{-1}],M intrinsic (z=0) [Gpc^{-3} yr^{-1}],M observed (design LVK) [yr^{-1}],N intrinsic (z=0) [Gpc^{-3} yr^{-1}],N observed (design LVK) [yr^{-1}],O intrinsic (z=0) [Gpc^{-3} yr^{-1}],O observed (design LVK) [yr^{-1}],P intrinsic (z=0) [Gpc^{-3} yr^{-1}],P observed (design LVK) [yr^{-1}],Q intrinsic (z=0) [Gpc^{-3} yr^{-1}],Q observed (design LVK) [yr^{-1}],R intrinsic (z=0) [Gpc^{-3} yr^{-1}],R observed (design LVK) [yr^{-1}],S intrinsic (z=0) [Gpc^{-3} yr^{-1}],S observed (design LVK) [yr^{-1}],T intrinsic (z=0) [Gpc^{-3} yr^{-1}],T observed (design LVK) [yr^{-1}],U intrinsic (z=0) [Gpc^{-3} yr^{-1}],U observed (design LVK) [yr^{-1}],V intrinsic (z=0) [Gpc^{-3} yr^{-1}],V observed (design LVK) [yr^{-1}],W intrinsic (z=0) [Gpc^{-3} yr^{-1}],W observed (design LVK) [yr^{-1}],X intrinsic (z=0) [Gpc^{-3} yr^{-1}],X observed (design LVK) [yr^{-1}],Y intrinsic (z=0) [Gpc^{-3} yr^{-1}],Y observed (design LVK) [yr^{-1}],Z intrinsic (z=0) [Gpc^{-3} yr^{-1}],Z observed (design LVK) [yr^{-1}]
.0.0.0,2.045038244512856,0.303936978303213,0.9748310725223884,0.1464673847460948,0.5874076563695284,0.0770162094157002,0.3155249109699614,0.0430430930455012,0.0768325107377567,0.0088292196139937,0.554554264738461,0.10465985393332,0.1342224305482438,0.0203009039397726,0.4521859161519929,0.065367396273432,2.909746936894201,0.3803445983243617,0.8836894521550873,0.1157006215536897,2.510078422447459,0.3653799804554055,3.440325278387128,0.506437785530029,2.196741199128444,0.321723288243677,2.1499604804638555,0.3149795565450615,2.0945799781668093,0.3093813665246613,9.136025909580832,1.3214177792710633,20.638261867168254,3.0418763395231334,15.982743953428018,2.384132506251822,2.236519967427114,0.3225545202360967,0.20330843561985193,0.02715702934812161,,,,,,,,,,,,
.1.1.1,7.52569008005995,1.1352875761237091,3.65898689098876,0.5350396181191616,3.3549664757021347,0.5033896672094764,1.8209474357670457,0.2726007275029555,0.4761587233859168,0.0752218986410618,9.333243005154428,1.465803071972975,0.5687374396133739,0.0769391218643696,1.9296473207065907,0.2762059418784608,13.305952963727778,1.8752622708662607,6.5480183808851,0.9690750568768904,11.2292266386038,1.7281005316479068,7.142464791773506,1.0280780693211626,7.290659020565707,1.1019033672499854,7.719627013084586,1.1505036406935862,7.6506465149945,1.1530355554745508,26.68544177668485,4.054275564220833,50.42100162853843,7.603095794109738,42.14615928925334,6.402257122099988,7.168188996859494,1.1091984931128342,3.0253674000312287,0.4742072317853524,,,,,,,,,,,,
.2.1.1,7.396129853243036,1.0776373243594932,3.835195036324005,0.5630495524456354,3.719714631781537,0.5476585473484112,2.015925029839755,0.2935703546083209,0.5057748509422332,0.0852296959581112,9.563233188112129,1.390051777663143,0.6983069802846755,0.0941859993573681,2.1006953675492244,0.2960734480384124,14.171999161268989,1.9926506688174983,8.721938420753556,1.311887696325165,10.83291347514721,1.6114348442252793,6.912094764359987,0.972187110429358,7.044834628325503,1.03584568176951,7.536746590089817,1.0887658248407115,7.488875614667683,1.0930712961690223,25.50631216794785,3.80314968829732,47.62414601885999,6.9827694477110285,39.521965062381,5.8317976060373615,6.864742553041925,1.0504614666404335,3.2057245533518177,0.5008938667712549,,,,,,,,,,,,
.3.1.1,5.101907529960119,0.7662629164613466,2.55640496390276,0.3745474936848008,2.3619716959234447,0.3551452300202864,1.2927290183347446,0.1935578354763873,0.3371817905472598,0.0552953626858383,6.244169382553907,0.9809661755159104,0.405847191601956,0.0548691159851727,1.3478399365330926,0.1917533699910921,9.347099933963896,1.3198168863534834,4.731531993189527,0.6997499294683271,7.563805913837845,1.1610029523855137,4.808687235836979,0.6891481669062335,4.924163802122855,0.7417344410926695,5.246103231042134,0.7765342554818313,5.183613055985644,0.7775738066489419,17.95140796831584,2.724090758783257,33.728087749136854,5.077232126922566,28.18949990345094,4.269254993753917,4.822052816741376,0.7461149854826586,2.1228111047008933,0.33169981868420073,,,,,,,,,,,,
.1.1.2,1.7575644448342391,0.2674562041199021,0.8662363518091984,0.1292659509462961,0.574629353548043,0.0794623080818977,0.2779590115726534,0.0463624180231411,0.0708866102112416,0.0097946098679772,0.8721608125232102,0.1402899830533767,0.1227181163754017,0.0175834375125632,0.3588098618117846,0.0535765242020011,2.7676741779405742,0.3706967712576501,0.9026913603618976,0.1329948860259489,2.391246925586774,0.344144722082389,2.6938147813420485,0.4024958980341289,1.871082278368616,0.2763599749574227,1.851818458995796,0.2764851426969134,1.7962612167919036,0.2720997212380917,7.544978682259225,1.103908903948357,16.3882661377656,2.439457265526375,12.863797563118483,1.9282859429286263,2.1770695568008325,0.3093085442594565,0.289309912178602,0.041190010735165206,,,,,,,,,,,,
.2.1.2,2.040179848110066,0.3242584678729948,1.2062259546743883,0.1794907416521418,1.085698114313303,0.1393051362214836,0.4599446779633162,0.0786123412572954,0.1568877013993008,0.0151231351202644,1.0517946849121589,0.142433220535397,0.2251121165280833,0.0326471363694573,0.56702499008149,0.0813470934958131,4.596271435745794,0.6085012822818818,2.04625660353975,0.3098315339989209,2.921325982048063,0.4101427545443455,3.027212258908105,0.461901732845081,2.2029668834304053,0.3270960583802835,2.195249324645533,0.3437349545171713,2.105926646579623,0.329080807241837,8.767335832836018,1.2662805068875638,18.23993931792681,2.723941314403428,14.276702109425976,2.127753330255357,2.454557741978161,0.3446572520262543,0.5751253530429878,0.07869197889192593,,,,,,,,,,,,
.3.1.2,1.261363466485295,0.1921976095938452,0.6311510927900728,0.0945480070494907,0.4200934331796681,0.058366961000383,0.2017999130353645,0.0348872998723266,0.0499866913317217,0.0072499988167396,0.6025685654844146,0.0962631269471369,0.0897333386179577,0.0128351690852449,0.2555205234671787,0.0381602663760103,2.071095035135379,0.2774252157221524,0.6554337844533058,0.0964842401424845,1.729626748601924,0.2470010622018115,1.933324349524845,0.2902446832752186,1.3433560914942029,0.1985139358085015,1.3380994836264946,0.1993828205848406,1.2884949954856553,0.195526174500301,5.41826202394733,0.7909305483235293,11.78139281663997,1.7513698450281876,9.209307916862908,1.378192964231418,1.5446721733261355,0.2198255864945255,0.2082790831720628,0.029452238276012756,,,,,,,,,,,,
.1.1.3,3.3015936214912163,0.4881523366077063,1.4728971635280537,0.2203148197176437,0.7829408718690347,0.114442589459115,0.4186772872192677,0.0589726094563058,0.0942803840568744,0.0148777658144653,1.5179657303275522,0.2721758824281161,0.1912695442861839,0.0275561159703904,0.6133207321689047,0.0953162366483379,4.306677811374135,0.5810709080298284,1.0118199295535613,0.1397351614865969,4.413834998332398,0.644386908502951,5.230376447416176,0.7639457097001945,3.479194009231087,0.511829968528366,3.435020815662494,0.4999546850227662,3.3658486807738903,0.4972593450624721,14.308548484586977,2.11633637110486,32.0781074406015,4.789981503684384,25.02533271571196,3.772705747673992,3.4863526596063985,0.5160119407413328,0.2673313366402491,0.039638920631153776,,,,,,,,,,,,
.2.1.3,3.4565066245460594,0.5094709461202234,1.7772171542875903,0.2618195827781071,1.1266816746076882,0.1633224981937295,0.4944591494270086,0.0785828877519308,0.1458756614703296,0.0203734273750928,1.689297776332422,0.2751971574466809,0.2691140306684886,0.0378733168257817,0.7356725035481191,0.1099448231469532,6.346205454240124,0.8675965512193209,1.5035824193178526,0.2176643204285939,4.915221533831403,0.6988007682016326,5.388563704059996,0.7928178406583224,3.6319079741016327,0.5304076458725073,3.639372115857817,0.5347824784385107,3.5240912881410416,0.5188699880299346,14.835068499022192,2.17306572130244,32.83501685733951,4.897945507656735,25.54066343219825,3.824330233575565,3.561330429669963,0.517466274158773,0.41845234007562493,0.060191113074521865,,,,,,,,,,,,
.3.1.3,2.307562383208164,0.3416108567645672,1.0462505232423347,0.1569652118318923,0.5707211360574562,0.0838660520613789,0.3060775863306268,0.0447351932816478,0.0668802922339167,0.0107630634138149,1.0414612806785049,0.1867373882447631,0.1388120460118136,0.0200166433079145,0.4318633114909832,0.0665562786301071,3.1953451434142064,0.4302037578834426,0.7527757634858231,0.1036966838583276,3.1202697843439178,0.4522505573936358,3.6493760689526553,0.5357430025344374,2.428915691813348,0.3570611322956459,2.418539689777341,0.3512110658227039,2.352402218825545,0.3479764891211598,9.985326440163302,1.4743552727539977,22.408654127057662,3.341952665911573,17.426629513821183,2.6237346364711733,2.414842422639653,0.3575979228961091,0.19323318591985472,0.028395366929358734,,,,,,,,,,,,
